# frame   <Re>    <Re^2>
0 8.464063 71.640361
1 9.008721 81.157049
2 8.886831 78.975764
3 9.491429 90.169139
4 9.698111 94.063801
5 10.435798 109.374626
6 10.246534 105.042507
7 9.979447 100.758395
8 9.268835 86.014371
9 8.687160 76.415221
10 9.881953 98.636263
11 8.804529 77.611584
12 9.179090 84.296544
13 9.785230 96.972857
14 10.464208 109.499656
15 9.698180 94.054700
16 10.392347 108.000884
17 9.546413 91.134004
18 10.101424 102.038769
19 9.883554 97.684644
20 10.014505 100.787577
21 10.053787 101.705540
22 9.233351 85.535193
23 8.619424 74.883231
24 8.233752 68.081027
25 7.930970 63.460957
26 8.340677 69.936328
27 7.164791 51.336270
28 7.577981 57.692192
29 8.483576 71.974660
30 9.388971 88.257736
31 9.631627 92.846112
32 9.268506 86.139947
33 8.563341 73.448722
34 10.642319 113.270005
35 10.522436 110.732837
36 10.353034 108.580691
37 10.605011 113.160569
38 11.756867 138.429630
39 11.448262 131.062700
40 11.686208 136.567464
41 11.189447 125.317512
42 9.495481 90.178963
43 10.640932 113.261641
44 10.743707 115.441209
45 10.635557 113.707092
46 9.944811 99.039375
47 10.488784 110.630297
48 10.040380 100.945220
49 10.490134 110.252860
50 10.140104 102.844440
51 9.377029 89.533703
52 9.794644 95.935398
53 10.982346 120.765253
54 9.448838 89.806005
55 9.977804 100.238364
56 10.381829 107.787400
57 9.831489 96.658783
58 12.002323 144.308870
59 11.973868 143.410633
60 11.781992 139.475505
61 11.099029 123.863062
62 10.435617 110.082044
63 11.427866 130.596299
64 10.382844 107.803803
65 10.734757 115.773229
66 9.532271 91.030444
67 9.669923 95.013523
68 8.861950 79.923988
69 8.948365 81.437374
70 10.006531 101.601442
71 10.663920 114.230871
72 10.461333 110.194767
73 9.875952 97.859121
74 10.703940 114.966334
75 10.375429 108.012673
76 10.207575 105.349492
77 10.503915 110.388847
78 9.595837 92.700589
79 11.042066 122.577988
80 11.094642 123.740467
81 11.354373 130.667942
82 11.327202 129.584482
83 11.257912 127.967511
84 11.144923 125.302640
85 10.731455 116.312895
86 11.364758 130.034985
87 11.768257 139.236628
88 11.076054 124.220104
89 10.927456 120.574472
90 11.089104 124.629174
91 10.083748 104.869112
92 10.868188 119.972370
93 10.405073 112.207519
94 10.478682 111.763627
95 10.245903 106.562381
96 9.926853 100.925581
97 10.130133 105.284193
98 9.430996 92.147916
99 9.628473 95.494893
100 9.660733 96.540858
101 9.043392 88.571908
102 10.878201 121.153342
103 10.609321 118.291044
104 9.739807 105.404538
105 10.343093 110.471848
106 8.104020 66.752834
107 7.635011 58.874935
108 8.885517 79.129974
109 9.213587 86.385886
110 9.234447 87.704831
111 8.744875 79.800188
112 8.818026 78.923320
113 10.278116 107.292940
114 10.346085 108.716352
115 9.866599 97.394837
116 10.011530 100.266161
117 11.032574 121.724437
118 10.108507 103.294881
119 10.928973 120.206260
120 10.304554 106.193668
121 10.929816 119.937835
122 10.573511 112.676682
123 10.296307 106.063939
124 10.523016 111.608975
125 11.639526 136.131203
126 10.923144 120.917914
127 10.909054 119.392302
128 11.871140 142.247922
129 11.348926 129.119613
130 11.610209 135.415850
131 11.184373 125.317483
132 10.202015 104.082762
133 9.772782 95.565320
134 10.627571 112.954754
135 9.665300 93.418025
136 10.844375 117.600461
137 11.116457 123.575609
138 11.117882 123.607304
139 11.196463 125.360789
140 11.460084 131.333516
144 10.080814 101.622801
145 10.039867 100.798925
146 11.041080 121.905449
147 9.532072 90.860404
148 8.339517 69.547541
149 9.693398 93.961964
150 9.273747 86.002380
151 9.341402 87.261784
152 10.765157 115.888609
153 10.240367 104.865125
154 8.871917 78.710916
155 11.160882 124.565284
156 12.265500 150.442484
158 11.513807 132.567749
159 11.387098 129.792303
160 11.948810 142.774056
161 11.535230 133.061529
162 12.302171 151.343416
163 11.635229 135.378549
164 11.774761 138.645000
165 12.511508 156.537844
166 11.349206 128.804476
167 11.534542 133.045656
168 10.470593 109.633316
169 9.765732 95.369525
170 10.388669 107.924436
171 12.202605 148.903576
172 12.899892 166.407221
173 10.681069 114.085225
174 8.368956 70.039425
175 10.253650 105.137341
176 11.006257 121.137684
177 10.949005 119.880709
178 11.039240 121.864824
179 10.030704 100.615025
180 9.026105 81.470564
181 9.064803 82.170649
182 9.470310 89.686776
183 8.904973 79.620593
184 10.058694 102.482010
185 9.203087 86.954690
186 10.703808 115.025512
187 10.415301 108.489193
188 11.011471 122.858688
189 11.188059 125.318525
190 11.711799 137.541766
191 10.153829 108.055125
192 11.055037 122.234662
193 11.258661 128.350865
194 9.803925 99.091245
195 11.071188 125.114246
196 11.130956 123.899484
197 11.515618 134.350358
198 10.981453 120.739401
199 12.405616 153.907499
200 10.430489 108.869105
201 9.967050 99.710561
202 10.169028 103.427219
203 9.984251 100.905382
204 8.359487 70.280273
205 9.978271 100.341087
206 11.443740 130.969212
207 10.732235 115.394965
208 9.318327 86.941676
209 10.227021 104.613972
210 10.272458 106.225878
211 10.053185 101.444029
212 11.690975 138.129106
213 10.518518 111.656813
214 10.015347 101.437796
215 10.337792 106.981551
216 11.038845 121.921913
217 10.321929 106.555568
218 10.745332 116.122900
219 10.816015 117.679832
220 10.018615 100.607526
221 9.916238 98.370367
222 9.911406 98.247457
223 10.578880 113.044563
224 9.598308 92.740319
225 10.231354 104.786223
226 10.539236 112.460886
227 9.308231 87.289100
228 9.876056 98.222436
229 9.877594 98.826067
230 9.587060 92.013691
231 8.928987 79.803392
232 9.826596 97.115637
233 8.989394 81.594815
234 10.733906 116.630389
235 10.444019 110.570391
236 10.217823 108.117675
237 10.632256 119.341405
238 10.670044 115.191958
239 10.393551 108.468771
240 11.161967 124.714975
241 11.190957 125.483718
242 9.846990 97.941360
243 10.035820 101.604885
244 9.901108 98.117370
245 10.696199 114.487252
246 11.131435 124.452545
247 11.507008 132.546083
248 11.250778 127.225308
249 11.055121 123.264595
250 11.599618 134.728218
251 11.279382 127.234744
252 9.805994 96.591556
253 10.654606 113.819215
254 11.155803 124.866852
255 11.142857 124.577578
256 10.938258 121.088802
257 11.324058 131.219377
258 10.292596 107.370322
259 10.598671 112.671520
260 10.514148 110.843977
261 10.636772 114.308552
262 10.011784 101.244426
263 9.918024 98.541918
264 10.221957 105.275152
265 10.656869 114.399616
