# frame  R_idx  L_idx   Re    Re2
0 23 24 8.464063 71.640361
1 23 24 9.008721 81.157049
2 23 24 8.886831 78.975764
3 1 40 9.205222 84.736116
3 23 24 9.777636 95.602161
4 1 40 9.595888 92.081076
4 23 24 9.800333 96.046525
5 1 40 9.751147 95.084876
5 23 24 11.120449 123.664376
6 1 40 10.020613 100.412689
6 23 24 10.472455 109.672324
7 1 40 8.898224 79.178389
7 23 24 11.060669 122.338401
8 1 40 9.589870 91.965601
8 23 24 8.947801 80.063141
9 1 40 9.661052 93.335921
9 23 24 7.713269 59.494521
10 1 40 8.890354 79.038401
10 23 24 10.873552 118.234125
11 1 40 8.501451 72.274669
11 23 24 9.107607 82.948500
12 1 40 9.381195 88.006824
12 23 24 8.976985 80.586264
13 1 40 10.890727 118.607924
13 23 24 8.679734 75.337789
14 1 40 10.464208 109.499656
15 1 40 9.698180 94.054700
16 1 40 10.392347 108.000884
17 1 40 9.546413 91.134004
18 1 40 10.101424 102.038769
19 1 40 9.883554 97.684644
20 1 40 10.719673 114.911384
20 24 31 9.309338 86.663769
21 1 40 10.845560 117.626164
21 24 31 9.262015 85.784916
22 1 40 9.762906 95.314336
22 24 31 8.703795 75.756049
23 1 40 9.386731 88.110725
23 24 31 7.852117 61.655736
24 1 40 8.768878 76.893229
24 24 31 7.698625 59.268824
25 1 40 8.679751 75.338069
25 24 31 7.182189 51.583844
26 1 40 8.948492 80.075501
26 24 31 7.732862 59.797156
27 1 40 7.209972 51.983700
27 24 31 7.119610 50.688841
28 1 40 8.094121 65.514800
28 24 31 7.061840 49.869584
29 1 40 8.543613 72.993316
29 24 31 8.423539 70.956004
30 1 40 9.064984 82.173929
30 24 31 9.712958 94.341544
31 1 40 9.352563 87.470444
31 38 39 9.910690 98.221781
32 1 40 8.783999 77.158644
32 38 39 9.753012 95.121249
33 1 40 8.906725 79.329744
33 38 39 8.219957 67.567700
34 1 40 10.747422 115.507069
34 38 39 10.537217 111.032941
35 1 40 10.416676 108.507149
35 38 39 10.628195 112.958525
36 1 40 9.171776 84.121481
36 38 39 11.534292 133.039901
37 1 40 9.771764 95.487376
37 38 39 11.438259 130.833761
38 1 40 11.303323 127.765100
38 38 39 12.210412 149.094161
39 38 39 11.448262 131.062700
40 38 39 11.686208 136.567464
41 31 40 11.526778 132.866600
41 38 39 10.852116 117.768424
42 31 40 9.373848 87.869025
42 38 39 9.617115 92.488901
43 31 40 10.820423 117.081556
43 38 39 10.461440 109.441725
44 31 40 10.625530 112.901889
44 38 39 10.861884 117.980529
45 31 40 11.404986 130.073700
45 38 39 9.866128 97.340484
46 31 40 9.570498 91.594429
46 38 39 10.319124 106.484321
47 31 40 9.704108 94.169709
47 38 39 11.273459 127.090884
48 31 40 10.409159 108.350596
48 38 39 9.671600 93.539844
49 31 40 10.031939 100.639796
