1.4200	-0.0600	-0.5090	1.5097
1.1400	-0.5200	0.2925	1.2867
0.6700	-1.0600	0.2237	1.2738
0.0600	0.4900	-1.2748	1.3670
-0.8900	-0.9600	-0.6737	1.4723
0.9200	-0.6600	-0.2714	1.1643
-0.5900	0.7800	-1.0964	1.4692
0.7000	-0.4500	-0.7594	1.1266
-0.2400	0.7000	-0.8340	1.1150
1.0900	0.7200	-0.4280	1.3747
0.5000	-0.6800	-1.1516	1.4278
1.2200	-0.1200	-0.7080	1.4156
-0.8800	1.0000	-0.2460	1.3546
1.2100	0.0800	-0.8580	1.4855
0.4900	1.3300	-0.3719	1.4654
-0.6400	-0.7900	-0.9970	1.4240
0.8500	1.0100	-0.5662	1.4364
0.4200	-0.4600	-0.9423	1.1296
0.7100	0.8700	-0.6894	1.3177
0.8200	-1.1500	-0.3979	1.4674
-0.0100	-0.9400	-0.7780	1.2202
0.7000	-0.7500	-0.8471	1.3304
1.2500	-0.3800	-0.6689	1.4678
0.9600	0.7300	-0.7321	1.4108
0.2500	-0.1400	-1.3414	1.3717
0.6900	-0.1000	-0.8347	1.0876
1.1100	0.2800	-0.2561	1.1731
0.3700	0.3800	-0.9572	1.0943
-0.3800	-0.6300	-1.0633	1.2930
1.1600	-0.5400	-0.7112	1.4639
0.9200	-0.2700	-0.9170	1.3267
-0.3500	0.0600	-1.1970	1.2486
0.0000	0.6000	-1.1030	1.2556
-0.8600	-0.6500	-0.7697	1.3246
0.5000	-0.0200	-1.1320	1.2377
0.2200	-0.4400	-1.2208	1.3162
-0.0300	-0.9800	-1.1940	1.5450
-0.0500	-1.0000	-0.9320	1.3679
-1.4300	-0.4400	-0.3960	1.5477
-1.4700	0.1100	-0.1634	1.4831
-1.3100	-0.0300	-0.5930	1.4383
-0.5900	1.0600	-0.7342	1.4180
-0.9700	0.2700	-0.7420	1.2507
-0.7900	1.0500	0.0349	1.3145
0.6600	-0.4200	-1.1242	1.3696
-0.4300	-0.7100	-1.0390	1.3299
0.6900	-0.5100	-0.8851	1.2327
-0.5900	1.0400	-0.2700	1.2258
0.4300	-1.0900	-0.5710	1.3035
0.9400	0.1400	-0.7901	1.2359
-0.1400	-1.2900	-0.6758	1.4630
0.4800	0.0700	-0.9404	1.0581
1.0600	-0.0100	-0.3976	1.1322
0.8800	0.4700	-0.7021	1.2199
0.4500	0.2700	-1.0621	1.1847
1.1300	0.4200	-0.7510	1.4203
0.7100	-1.1500	-0.1770	1.3631
-1.0200	-0.0900	-0.3738	1.0901
-0.2500	-0.5000	-1.1179	1.2499
0.2300	0.8500	-0.7679	1.1684
0.1900	-0.7000	-1.1368	1.3485
0.6500	0.9000	-0.3830	1.1744
