# frame	R_proto	L_proto	RB_LB_dist
0	23	24	1.509663
1	23	24	1.286684
2	23	24	1.273790
3	1	40	1.472268
3	23	24	1.367046
4	1	40	1.469215
4	23	24	1.164327
5	1	40	1.114969
5	23	24	1.126569
6	1	40	1.427789
6	23	24	1.374658
7	1	40	1.354591
7	23	24	1.415650
8	1	40	1.465370
8	23	24	1.485484
9	1	40	1.436378
9	23	24	1.423976
10	1	40	1.317677
10	23	24	1.129570
11	1	40	1.220239
11	23	24	1.467387
12	1	40	1.467763
12	23	24	1.330443
13	1	40	1.371661
13	23	24	1.410840
14	1	40	1.087577
15	1	40	1.173067
16	1	40	1.094318
17	1	40	1.293022
18	1	40	1.463901
19	1	40	1.326721
20	1	40	1.255631
20	24	31	1.248563
21	1	40	1.237669
21	24	31	1.324590
22	1	40	1.544971
22	24	31	1.316189
23	1	40	1.547681
23	24	31	1.367890
24	1	40	1.438280
24	24	31	1.483138
25	1	40	1.250745
25	24	31	1.418025
26	1	40	1.369608
26	24	31	1.314465
27	1	40	1.232691
27	24	31	1.329858
28	1	40	1.303473
28	24	31	1.225806
29	1	40	1.463013
29	24	31	1.235904
30	1	40	1.132160
30	24	31	1.058145
31	1	40	1.184676
31	38	39	1.219936
32	1	40	1.363059
32	38	39	1.420317
33	1	40	1.249880
33	38	39	1.090058
34	1	40	1.348486
34	38	39	1.168362
35	1	40	1.427124
35	38	39	1.174389
36	1	40	1.378007
36	38	39	1.231599
37	1	40	1.463593
37	38	39	1.099951
38	1	40	1.285525
38	38	39	1.383036
39	38	39	1.493467
40	38	39	1.443635
41	31	40	1.232561
41	38	39	1.484787
42	31	40	1.352998
42	38	39	1.494229
43	31	40	1.316435
43	38	39	1.140404
44	31	40	1.139838
44	38	39	1.046150
45	31	40	1.412873
45	38	39	1.425490
46	31	40	1.544328
46	38	39	1.452125
47	31	40	1.125567
47	38	39	1.252420
48	31	40	1.056742
48	38	39	1.295386
49	31	40	1.187276
49	38	39	1.230333
50	31	40	1.433377
50	38	39	1.415816
51	31	40	1.493413
51	38	39	1.321766
52	31	40	1.372071
52	38	39	1.481372
53	31	40	1.018429
53	38	39	1.416897
54	31	40	1.333561
54	38	39	1.134787
55	31	40	1.089567
55	38	39	1.380642
56	31	40	1.404430
56	38	39	1.421011
57	31	40	1.466467
57	38	39	1.384270
58	31	40	0.996565
58	38	39	1.197165
59	31	40	1.464646
59	38	39	1.350330
60	31	40	1.235160
60	38	39	1.090479
61	31	40	1.235145
61	38	39	1.161904
62	31	40	1.058654
62	38	39	1.308953
63	31	40	1.068562
63	38	39	1.295413
64	31	40	1.166790
64	38	39	1.443223
65	31	40	1.102481
65	38	39	1.367334
66	31	40	1.454715
66	38	39	1.202248
67	1	24	1.203662
67	31	40	1.172471
67	38	39	1.109290
68	1	24	1.332301
68	31	40	1.227980
68	38	39	1.344801
69	1	24	1.191351
69	31	40	1.372789
69	38	39	1.164157
70	1	24	1.426988
70	31	40	1.201431
70	38	39	1.253625
71	1	24	1.414739
71	31	40	1.174404
71	38	39	1.394301
72	1	24	1.268773
72	31	40	1.335049
72	38	39	1.368747
73	1	24	1.174793
73	31	40	1.308254
73	38	39	1.097548
74	1	24	1.087522
74	31	40	1.512093
74	38	39	1.260715
75	1	24	1.321571
75	31	40	1.202341
75	38	39	1.138471
76	1	24	1.372409
76	31	40	1.401034
76	38	39	1.447643
77	1	24	1.318225
77	31	40	1.266561
77	38	39	1.434897
78	1	24	1.386795
78	18	35	1.322637
78	31	40	1.215465
78	38	39	1.454749
79	1	24	1.240384
79	18	35	1.228128
79	31	40	1.328055
79	38	39	1.091541
80	1	24	1.380934
80	18	35	119.094277
80	31	40	1.166398
80	38	39	1.060472
81	1	24	1.424445
81	18	35	1.498295
81	31	40	1.110146
81	38	39	1.351548
82	1	24	1.354303
82	18	35	1.105644
82	31	40	1.305229
82	38	39	1.061324
83	1	24	1.116251
83	18	35	1.398828
83	31	40	1.288463
83	38	39	1.120636
84	1	24	1.341555
84	18	35	1.180332
84	31	40	1.302421
84	38	39	1.010495
85	1	24	1.129031
85	10	11	1.266142
85	18	35	1.306582
85	31	40	1.419362
85	38	39	1.090771
86	1	24	1.361610
86	10	11	1.455507
86	18	35	1.411856
86	31	40	0.985546
86	38	39	1.465413
87	1	24	1.240473
87	10	11	1.246212
87	18	35	0.997480
87	38	39	1.426788
88	1	24	1.428191
88	10	11	1.380117
88	18	35	1.131938
88	38	39	1.487086
89	1	24	1.220934
89	10	11	0.948846
89	18	35	1.212328
89	38	39	1.220952
90	1	24	1.469490
90	10	11	1.017396
90	18	35	1.205390
90	31	40	1.496036
90	38	39	1.282437
91	1	24	1.121082
91	10	11	1.135545
91	18	35	1.364483
91	31	40	1.549113
91	38	39	1.034891
92	1	24	1.350926
92	10	11	1.392990
92	18	35	1.305760
92	31	40	0.968367
92	38	39	1.252127
93	1	24	1.353476
93	10	11	1.482009
93	31	40	1.390396
93	38	39	1.293130
94	1	24	1.203043
94	10	11	1.305021
94	31	40	1.376487
94	38	39	1.343878
95	1	24	1.505309
95	10	11	1.200411
95	31	40	1.084817
95	38	39	1.257098
96	1	24	1.314898
96	10	11	1.299023
96	31	40	1.473570
96	38	39	1.162497
97	1	24	1.251700
97	10	11	1.162908
97	31	40	1.451802
97	38	39	1.412203
98	1	24	1.230927
98	10	11	1.355045
98	31	40	1.147180
98	32	33	1.120744
98	38	39	1.129982
99	1	24	1.436028
99	10	11	1.329071
99	31	40	1.420739
99	32	33	1.486561
99	38	39	1.348694
100	1	24	1.340159
100	10	11	1.478796
100	31	40	1.026331
100	32	33	1.313325
100	38	39	1.470130
101	1	24	1.449957
101	31	40	1.359180
101	32	33	1.225718
101	38	39	1.435479
102	1	24	1.187225
102	31	40	1.091337
102	32	33	1.399763
102	38	39	1.471307
103	1	24	1.289157
103	31	40	1.397641
103	32	33	1.125074
104	1	24	1.446300
104	31	40	1.180754
104	32	33	1.414938
105	1	24	1.184037
105	31	40	1.461306
105	32	33	1.410139
106	31	40	1.448796
106	32	33	1.350071
106	38	39	1.236895
107	31	40	1.442268
107	32	33	1.258789
107	38	39	1.408844
108	31	40	1.009935
108	32	33	1.343125
108	38	39	1.104793
109	31	40	1.150285
109	32	33	1.163518
109	38	39	1.055368
110	31	40	1.245769
110	32	33	1.201925
110	38	39	0.946493
111	31	40	1.291939
111	32	33	1.385699
111	38	39	1.069373
112	31	40	1.451895
112	32	33	1.425208
112	38	39	1.394555
113	31	40	1.382919
113	32	33	1.330873
113	38	39	1.450454
114	31	40	1.042690
114	32	33	1.338011
114	38	39	1.426729
115	31	40	1.360949
115	32	33	1.404143
115	38	39	1.266626
116	31	40	1.014026
116	32	33	1.009046
116	38	39	1.338490
117	31	40	1.453005
117	32	33	1.172574
117	38	39	1.114596
118	31	40	1.317088
118	32	33	1.086883
118	38	39	1.296034
119	31	40	1.373208
119	32	33	1.034992
119	38	39	1.358208
120	31	40	1.344258
120	32	33	1.150097
120	38	39	1.318519
121	31	40	1.000310
121	32	33	1.120239
121	38	39	1.268488
122	31	40	1.349037
122	32	33	1.325894
122	38	39	1.433820
123	31	40	1.267694
123	32	33	1.257545
123	38	39	1.328459
124	31	40	1.283053
124	32	33	1.317167
124	38	39	1.268306
125	31	40	1.244798
125	32	33	1.458929
125	38	39	1.289355
126	31	40	1.365170
126	32	33	1.360030
126	38	39	1.100071
127	31	40	1.470966
127	32	33	1.437621
128	25	26	1.238912
128	31	40	1.467076
128	32	33	1.243541
129	25	26	1.475203
129	31	40	1.184740
129	32	33	0.939640
130	25	26	1.427924
130	31	40	1.430311
130	32	33	1.288723
131	25	26	1.475390
131	31	40	1.520784
132	25	26	1.256421
132	31	40	1.342633
133	25	26	1.188725
133	31	40	1.591099
134	25	26	0.998724
134	31	40	1.202981
135	25	26	1.471295
136	25	26	1.503238
137	25	26	1.304510
138	25	26	1.193902
139	25	26	1.425160
140	25	26	1.487749
144	39	40	1.094486
145	39	40	1.209442
146	39	40	1.250744
147	39	40	1.088535
148	39	40	1.287189
149	39	40	1.552321
150	39	40	1.324803
151	39	40	1.286126
152	39	40	1.469016
153	39	40	1.435169
154	39	40	1.482363
155	39	40	1.391542
156	39	40	1.327063
158	26	33	1.085721
159	6	17	1.322425
159	26	33	1.378912
160	26	33	1.245162
161	26	33	1.298718
162	39	40	1.363048
163	39	40	1.101390
164	39	40	1.345039
165	39	40	1.313941
166	39	40	1.344176
167	39	40	1.078046
168	39	40	1.424570
169	39	40	1.428555
170	39	40	1.124144
171	39	40	1.149863
172	39	40	1.205903
173	39	40	1.320208
174	39	40	1.072019
175	39	40	0.993016
176	39	40	1.354510
177	39	40	1.252612
178	39	40	1.418093
179	39	40	1.436976
180	39	40	1.314070
181	39	40	1.343596
182	39	40	0.965662
183	32	35	1.164871
183	39	40	1.295725
184	31	40	1.010359
184	32	35	1.434408
185	31	40	1.487040
185	32	35	1.201747
186	31	40	1.366598
186	32	35	1.239660
187	31	40	1.097845
187	32	35	1.035036
188	31	40	1.224500
188	32	35	1.142606
189	31	40	1.284047
189	32	35	118.863388
190	31	40	1.048290
190	32	35	1.351025
191	31	40	1.391124
191	32	35	1.235552
192	31	40	1.344774
192	32	35	1.492855
193	31	40	1.173407
193	32	35	1.441215
194	31	40	1.205728
194	32	35	1.227376
195	31	40	1.164100
195	32	35	1.236557
196	31	40	1.148139
196	32	35	1.361413
197	31	40	1.179008
197	32	35	1.272213
198	31	40	1.386398
198	32	35	1.044009
199	31	40	1.328360
199	32	35	1.023734
200	31	40	1.430015
200	32	35	1.081268
201	31	40	1.132182
201	32	35	1.172190
202	31	40	1.326452
202	32	35	1.290349
203	31	40	1.497526
203	32	35	1.233831
204	31	40	1.472183
204	32	35	1.442133
205	31	40	1.375760
205	32	35	1.443636
206	31	40	1.282100
206	32	35	1.369317
207	31	40	1.334586
207	32	35	1.446011
208	31	40	1.029449
208	32	35	1.372123
209	31	40	1.338004
209	32	35	1.357119
210	31	40	1.013041
210	32	35	1.270712
211	31	40	1.359403
211	32	35	1.018708
212	31	40	1.469990
212	32	35	1.161298
213	31	40	1.402513
213	32	35	1.325446
214	31	40	1.394445
214	32	35	1.283642
215	31	40	1.440031
215	32	35	1.445627
216	31	40	1.032913
216	32	35	1.501232
217	31	40	1.301293
217	32	35	1.171537
218	31	40	1.156910
218	32	35	1.222537
219	31	40	1.164029
219	32	35	1.269389
220	31	40	1.048814
220	32	35	1.395498
221	31	40	1.124417
221	32	35	1.189312
222	31	40	1.011079
222	32	35	1.051189
223	31	40	1.136217
223	32	35	0.997739
223	38	39	1.261786
224	31	40	1.010341
224	32	35	1.443420
224	38	39	1.454176
225	31	40	1.254169
225	32	35	1.463792
225	38	39	1.132961
226	31	40	1.015569
226	32	35	1.246966
226	38	39	1.271473
227	31	40	1.052056
227	32	35	1.158581
227	38	39	1.030485
228	31	40	1.336379
228	32	35	1.426797
228	38	39	1.262686
229	31	40	1.515830
229	32	35	1.388893
229	38	39	1.291253
230	31	40	1.280053
230	32	35	1.356096
230	38	39	1.330043
231	31	40	1.113149
231	32	35	1.347479
231	38	39	1.226868
232	31	40	1.239203
232	32	35	1.153979
232	38	39	1.427192
233	31	40	1.364676
233	32	35	1.383429
233	38	39	1.048880
234	31	40	1.148394
234	32	35	1.414168
234	38	39	1.303082
235	31	40	1.075460
235	32	35	1.287978
235	38	39	1.158363
236	32	35	1.475452
236	38	39	1.091568
237	32	35	1.481114
237	38	39	1.420992
238	6	41	1.111193
238	32	35	1.452488
238	38	39	1.050661
239	6	41	1.235104
239	32	35	1.099310
239	38	39	1.340176
240	6	41	1.275150
240	32	35	1.014126
240	38	39	1.148984
241	32	35	1.281917
241	38	39	1.137348
242	32	35	1.471127
242	38	39	1.100910
243	32	35	1.125891
243	38	39	1.489765
244	32	35	1.194935
244	38	39	1.108326
245	32	35	1.283006
245	38	39	1.347337
246	32	35	1.452678
246	38	39	1.226025
247	32	35	1.323502
247	38	39	1.160891
248	21	40	1.352630
248	32	35	1.292435
248	38	39	1.388720
249	6	41	1.231554
249	21	40	1.330552
249	32	35	1.424380
250	6	41	1.400726
250	21	40	1.222665
250	32	35	1.393337
251	6	41	1.395601
251	21	40	1.432454
252	6	41	1.198627
252	21	40	1.223340
252	32	35	1.329602
253	6	41	1.573291
253	21	40	1.267466
253	32	35	1.417924
254	6	41	1.396497
254	21	40	1.452315
