# frame	protein_index	rx	ry	rz	r
0	24	1.780000	-0.170000	-3.347000	3.794695
0	23	-0.760000	2.030000	-3.275000	3.927356
1	24	0.870000	-0.850000	-2.643300	2.909714
1	23	-2.340000	0.720000	-5.256200	5.798417
2	24	2.530000	-1.300000	-3.482500	4.496522
2	23	-2.130000	-1.840000	-3.833200	4.755620
3	24	2.730000	-2.650000	-3.608200	5.243521
3	40	-2.610000	1.510000	-2.730300	4.067768
3	1	1.460000	-2.320000	-3.800000	4.685510
3	23	-3.320000	-1.690000	-2.736000	4.622142
4	24	3.400000	1.230000	-3.588600	5.094207
4	40	-0.280000	0.460000	-3.208600	3.253477
4	1	2.950000	0.080000	-4.421000	5.315462
4	23	-1.700000	-0.660000	-3.775000	4.192401
5	24	3.140000	0.160000	-2.741700	4.171585
5	40	-1.810000	-1.910000	-5.656000	6.238152
5	1	0.080000	-3.540000	-2.736000	4.474784
5	23	-2.410000	-2.510000	-5.424920	6.444995
6	24	1.680000	-0.740000	-5.611000	5.903670
6	40	-1.120000	-2.020000	-4.693400	5.230947
6	1	-0.420000	-2.880000	-4.172000	5.086884
6	23	-2.870000	-2.130000	-2.529000	4.378315
7	24	2.080000	-0.730000	-4.475000	4.988479
7	40	-1.490000	1.090000	-5.778000	6.065763
7	1	-2.790000	1.100000	-2.809000	4.109085
7	23	-3.760000	-2.510000	-3.168000	5.520319
8	24	-1.690000	0.840000	-4.218000	4.620955
8	40	1.130000	1.530000	-2.339000	3.014751
8	1	-0.870000	-1.250000	-5.588100	5.791913
8	23	-5.040000	0.370000	-2.603000	5.684550
9	24	1.750000	-1.010000	-0.730000	2.148371
9	40	-0.610000	2.310000	-3.214400	4.005068
9	1	-3.790000	-0.970000	-3.880400	5.510218
9	23	-2.020000	1.070000	-4.712000	5.237198
10	24	4.220000	-0.850000	-4.223700	6.030799
10	40	-0.430000	2.500000	-3.577600	4.385672
10	1	-2.400000	0.570000	-3.734000	4.475227
10	23	-1.960000	3.400000	-2.079000	4.441153
11	24	3.220000	-2.400000	-2.814200	4.903888
11	40	0.940000	1.110000	-4.422000	4.655082
11	1	-2.460000	-0.550000	-2.563000	3.594867
11	23	-1.360000	0.710000	-2.757900	3.155901
12	24	-0.280000	-4.110000	-3.180900	5.204673
12	40	0.490000	1.330000	-3.180100	3.481671
12	1	-2.190000	-1.240000	-4.383000	5.054146
12	23	-5.050000	-0.890000	-1.880000	5.461593
13	24	1.770000	-3.950000	-2.948900	5.237500
