# frame	protein_index	rx	ry	rz	r
0	0	-0.868700	-1.920000	-7.200000	7.502069
0	2	1.550000	-3.250000	-6.381720	7.327438
0	8	-0.420000	-1.630000	-7.414500	7.603164
0	12	3.040000	2.330000	-6.612000	7.641272
0	18	0.410000	1.720000	-7.096000	7.312983
0	20	-0.360000	2.631000	-6.674400	7.183271
0	26	1.600000	-0.970000	-6.960400	7.207501
0	28	0.830000	-1.110000	-7.202420	7.334566
0	1	-0.278000	-0.750000	-7.163200	7.207719
0	3	-1.130000	2.420000	-6.995000	7.487545
0	9	1.590000	0.080000	-7.621000	7.785508
0	13	-1.590000	0.450000	-7.155000	7.343339
0	19	-1.240000	-0.570000	-7.025000	7.156335
0	21	-0.670000	1.330000	-7.118000	7.272120
0	27	-0.990000	0.160000	-7.356900	7.424936
0	29	-2.790000	2.310000	-6.568000	7.500588
1	0	0.316000	-2.800000	-7.087000	7.626626
1	2	1.660000	-2.010000	-6.651100	7.143727
1	8	-0.920000	0.830000	-7.108950	7.216126
1	12	1.020000	-0.860000	-7.309000	7.429770
1	18	0.260000	2.540000	-7.153000	7.595038
1	20	1.310000	2.091000	-7.011200	7.432719
1	26	1.047000	0.830000	-7.463500	7.582146
1	28	0.640000	-2.130000	-6.792400	7.147251
1	1	-0.881350	-1.190000	-7.258400	7.407918
1	3	-1.200000	3.140000	-6.408000	7.236164
1	9	1.110000	1.830000	-7.138000	7.451983
1	13	-2.800000	1.250000	-6.715000	7.381987
1	19	-1.530000	-2.471000	-6.750000	7.349098
1	21	0.560000	-1.298000	-7.340000	7.474892
1	27	-1.960000	0.010000	-7.011300	7.280112
1	29	-2.010000	2.120000	-6.500000	7.126324
2	0	-0.033700	-1.510000	-7.469600	7.620772
2	2	2.110000	-2.210000	-7.042400	7.676692
2	8	-1.800000	-0.350000	-7.006000	7.241998
2	12	1.650000	-2.440000	-6.655000	7.277714
2	18	1.890000	3.865000	-5.689210	7.132842
2	20	1.850000	-0.976000	-7.207300	7.504682
2	26	1.980000	-0.810000	-7.225300	7.535347
2	28	1.780000	-4.150000	-5.592690	7.188121
2	1	-0.328810	1.440000	-7.456000	7.600898
2	3	-2.050000	2.750000	-6.259000	7.137232
2	9	1.400000	1.510000	-7.130900	7.422253
2	13	-0.690000	-0.640000	-7.438000	7.497302
2	19	-2.160000	-0.975000	-7.116000	7.500245
2	21	-0.530000	-0.822000	-7.373400	7.437984
2	27	-0.390000	-0.770000	-7.343800	7.394349
2	29	-1.850000	1.840000	-6.890200	7.367697
3	0	-0.633400	-0.490000	-7.282000	7.325901
3	2	2.630000	-0.490000	-6.887200	7.388540
3	8	-0.810000	-0.640000	-7.340800	7.413032
3	12	3.470000	-0.480000	-6.961000	7.792742
3	18	2.320000	1.900000	-6.807800	7.438988
3	20	-0.030000	-0.422000	-7.541460	7.553317
3	26	1.730000	-1.410000	-6.785200	7.142824
3	28	1.820000	-2.430000	-6.633400	7.295156
3	1	0.024700	-0.740000	-7.630800	7.666637
3	3	-1.290000	2.670000	-6.897000	7.507437
3	9	1.770000	0.130000	-6.865000	7.090700
3	13	-1.280000	1.360000	-7.259000	7.495404
3	19	-0.890000	-3.040000	-6.740000	7.447234
3	21	-1.760000	-0.392000	-7.014000	7.242062
3	27	-0.710000	-0.930000	-7.246500	7.340352
3	29	0.800000	2.520000	-6.996000	7.478931
4	0	0.438000	-0.200000	-7.775000	7.789895
4	2	3.250000	-0.630000	-6.579200	7.365139
4	8	-0.210000	1.800000	-7.022500	7.252559
4	12	3.530000	-1.080000	-6.427000	7.411722
4	18	2.740000	3.720000	-6.065100	7.624398
4	20	1.090000	1.900000	-7.307800	7.629026
4	26	0.740000	0.400000	-7.289900	7.338272
4	28	1.080000	-1.219000	-7.102200	7.286536
4	1	1.574500	0.490000	-7.247900	7.433115
4	3	-0.820000	2.280000	-6.506000	6.942538
4	9	3.720000	-0.200000	-6.625000	7.600594
4	13	-2.320000	1.770000	-6.876000	7.469583
