# frame   <Re>    <Re^2>
0 15.854503 251.493603
1 15.854633 251.455902
2 15.929233 253.934004
3 15.964672 254.962704
4 15.930255 253.909981
5 16.046202 257.709484
6 15.795706 249.568891
7 15.886273 252.472463
8 15.624389 244.216171
9 15.732083 247.552097
10 15.878376 252.164404
11 16.077771 258.574997
12 15.863016 251.766355
13 15.865670 251.879795
14 15.837874 250.856750
15 15.938682 254.066481
16 16.053263 257.768741
17 15.845114 251.229958
18 15.886892 252.485403
19 15.989934 255.709404
20 15.860550 251.683076
21 16.169615 261.527188
22 16.141515 260.616733
23 16.165727 261.401786
24 15.732878 247.664045
25 15.892998 252.678853
26 15.913678 253.313272
27 15.888161 252.561960
28 15.779203 249.384022
29 15.927908 253.820772
30 15.908858 253.108418
31 15.916576 253.475356
32 15.902669 252.958955
33 15.854989 251.506702
34 15.836414 250.948710
35 15.872632 251.952305
36 15.882198 252.338437
37 15.874270 252.042316
38 15.979320 255.455247
39 15.983064 255.589802
40 16.007313 256.298644
41 15.799779 249.714889
42 15.851870 251.381333
43 15.883993 252.419324
44 15.908426 253.175388
45 15.994016 255.872930
46 16.008597 256.356255
47 15.951092 254.681187
48 15.921195 253.553717
49 15.888230 252.491801
50 16.111644 259.656003
51 16.022632 256.810581
52 15.956560 254.675456
53 16.069110 258.289755
54 15.876459 252.128821
55 15.853063 251.378560
56 16.055333 257.917293
57 15.870484 252.008010
58 15.984767 255.634280
59 15.961545 254.834336
60 16.071493 258.360403
61 16.037221 257.222970
62 15.880068 252.288260
63 16.029009 257.053012
64 16.051947 257.725597
65 16.083989 258.745215
66 16.143950 260.792790
67 16.079267 258.626417
68 15.990634 255.792229
69 15.874549 252.079699
70 16.186550 262.041453
71 15.917412 253.462231
72 16.045204 257.553129
73 15.790146 249.456629
74 16.064473 258.116721
75 15.857257 251.514765
76 15.889964 252.551579
77 15.949914 254.468812
78 16.077194 258.548440
79 16.066983 258.229499
80 15.936099 254.022948
81 16.024433 256.916485
82 16.224497 263.304377
83 16.052155 257.701143
84 16.005087 256.219354
85 16.073650 258.482246
86 15.822951 250.503416
87 15.959621 254.728068
88 15.977050 255.409647
89 15.838030 250.925449
90 15.917266 253.405608
91 15.855542 251.626842
92 15.917911 253.514478
93 15.956190 254.658141
94 16.020198 256.706149
95 16.013516 256.570669
96 15.929066 253.820462
97 15.940911 254.203970
98 15.993988 255.862410
99 15.813980 250.113831
100 15.851657 251.368139
101 16.060407 258.063138
102 16.065878 258.160815
103 15.989489 255.721325
104 15.946251 254.409209
105 15.992816 255.800830
106 15.838614 250.909840
107 16.088508 258.873727
108 16.059696 257.944917
109 15.916426 253.469015
110 15.941006 254.178705
111 15.951161 254.469942
112 16.056727 257.922688
113 16.065772 258.385652
114 16.010069 256.462652
115 15.926543 253.702704
116 15.970448 255.147858
117 15.927297 253.779657
118 15.988016 255.710123
119 15.902923 253.122027
120 16.006004 256.310308
121 15.830496 250.748110
122 15.960768 254.811521
123 15.787819 249.385983
124 15.997951 256.110813
125 15.913102 253.338143
126 15.985829 255.639269
127 15.936271 254.034347
128 16.074451 258.416957
129 16.132754 260.386869
130 16.098220 259.222699
131 15.850746 251.369057
132 15.671663 245.725830
133 15.939553 254.187542
134 15.938091 254.100100
