# frame	R_proto	L_proto	RB_LB_dist
0	0	1	1.179430
0	2	3	1.254363
0	8	9	1.138144
0	12	13	1.444722
0	18	19	1.102009
0	20	21	1.396053
0	26	27	1.373861
0	28	29	1.455087
1	0	1	1.532160
1	2	3	1.241496
1	8	9	1.462445
1	12	13	1.281757
1	18	19	1.278696
1	20	21	1.424935
1	26	27	1.059216
1	28	29	1.215911
2	0	1	1.536389
2	2	3	1.470614
2	8	9	1.172183
2	12	13	1.459637
2	18	19	1.198735
2	20	21	1.375659
2	26	27	1.256854
2	28	29	0.990204
3	0	1	1.530762
3	2	3	1.263501
3	8	9	1.340115
3	12	13	1.350073
3	18	19	1.135352
3	20	21	1.341272
3	26	27	1.251609
3	28	29	1.321500
4	0	1	1.060242
4	2	3	1.124939
4	8	9	1.482112
4	12	13	1.343503
4	18	19	1.403663
4	20	21	1.327431
4	26	27	1.262487
4	28	29	1.387890
5	0	1	1.443104
5	2	3	1.146145
5	12	13	1.360397
5	18	19	1.193063
5	20	21	1.200512
5	26	27	1.391661
5	28	29	1.055205
6	0	1	1.036899
6	2	3	1.440506
6	12	13	1.056355
6	18	19	1.109686
6	20	21	1.500495
6	26	27	1.368938
6	28	29	1.235473
7	0	1	1.458690
7	2	3	1.310380
7	8	9	1.404685
7	12	13	1.456666
7	18	19	1.435697
7	20	21	1.038738
7	26	27	1.322276
7	28	29	1.243266
8	0	1	1.389436
8	2	3	1.161580
8	8	9	1.413129
8	12	13	1.500996
8	18	19	1.259722
8	20	21	1.145123
8	26	27	1.053523
8	28	29	1.485675
9	0	1	1.037218
9	8	9	1.045126
9	12	13	1.029069
9	18	19	1.334848
9	20	21	1.381423
9	26	27	1.155102
9	28	29	1.024567
10	0	1	1.375512
10	2	3	1.350772
10	8	9	1.068232
10	12	13	1.450054
10	18	19	1.442989
10	20	21	1.392184
10	26	27	1.063182
10	28	29	1.392938
11	0	1	1.402464
11	2	3	1.334447
11	8	9	1.507135
11	12	13	1.143073
11	18	19	1.244300
11	20	21	1.467857
11	26	27	1.398209
11	28	29	1.305914
12	0	1	1.316746
12	2	3	1.071058
12	8	9	1.224009
12	12	13	1.496155
12	18	19	1.352725
12	20	21	1.329263
12	26	27	1.367667
12	28	29	1.362706
13	0	1	1.363000
13	2	3	1.109510
13	8	9	1.115521
13	12	13	1.241314
13	18	19	1.413338
13	20	21	1.037600
13	26	27	1.171474
13	28	29	1.121218
14	0	1	1.260022
14	2	3	1.504205
14	8	9	1.197234
14	12	13	1.365037
14	18	19	1.164797
14	20	21	1.415133
14	26	27	1.084786
14	28	29	0.984414
15	0	1	1.359426
15	2	3	1.483610
15	8	9	1.382825
15	12	13	1.442532
15	18	19	1.048544
15	20	21	1.488223
15	26	27	1.125781
15	28	29	1.166972
16	0	1	1.474151
16	2	3	1.354610
16	8	9	1.200928
16	12	13	1.180002
16	18	19	1.224242
16	20	21	1.431239
16	26	27	1.289217
16	28	29	1.349118
17	0	1	1.232844
17	2	3	1.115817
17	8	9	1.340248
17	12	13	1.297826
17	18	19	1.396202
17	26	27	1.388219
17	28	29	1.278468
18	0	1	1.054268
18	2	3	1.038441
18	8	9	1.240439
18	12	13	1.357417
18	18	19	1.303802
18	20	21	1.521918
18	28	29	1.421534
19	0	1	1.232554
19	2	3	1.133187
19	8	9	1.144450
19	12	13	1.358528
19	18	19	1.395183
19	20	21	1.007039
19	28	29	1.269261
20	0	1	1.384162
20	2	3	1.048159
20	8	9	1.072829
20	12	13	1.429554
20	18	19	1.045489
20	20	21	1.387727
20	28	29	1.336609
21	0	1	1.265476
21	2	3	1.241358
21	8	9	1.508400
21	12	13	1.361525
21	18	19	1.211183
21	20	21	1.383815
21	28	29	1.114048
22	0	1	1.027218
22	2	3	1.354849
22	8	9	1.311842
22	12	13	1.241308
22	18	19	1.423665
22	20	21	1.467766
22	28	29	1.444359
23	0	1	1.221824
23	2	3	1.399975
23	8	9	1.172003
23	12	13	1.212202
23	18	19	1.220017
23	20	21	1.423315
23	28	29	1.378590
24	0	1	1.342797
24	2	3	1.206099
24	8	9	1.390170
24	12	13	1.445164
24	16	17	1.104553
24	18	19	1.225938
24	20	21	1.256819
24	28	29	1.253807
25	0	1	1.330582
25	2	3	1.218319
25	8	9	1.427432
25	12	13	1.434701
25	16	17	1.407739
25	18	19	1.335526
25	20	21	1.106439
25	26	27	1.351555
25	28	29	1.347602
26	0	1	1.293435
26	2	3	1.165363
26	8	9	1.008677
26	12	13	1.218525
26	16	17	1.079403
26	18	19	1.238885
26	20	21	1.351197
26	26	27	1.023612
26	28	29	1.120334
27	0	1	1.294532
27	2	3	1.093421
27	8	9	1.312398
27	12	13	1.112081
27	16	17	1.404376
27	18	19	1.345166
27	20	21	1.387538
27	26	27	1.349774
27	28	29	1.074097
28	0	1	1.090271
28	2	3	1.079572
28	8	9	1.061256
28	12	13	1.256952
28	16	17	1.142586
28	18	19	1.166237
28	20	21	1.254135
28	26	27	1.024050
28	28	29	1.453869
29	0	1	1.312942
29	2	3	1.366313
29	8	9	1.413751
29	12	13	1.324887
29	16	17	1.128929
29	18	19	1.227507
29	20	21	1.198342
29	26	27	1.321603
29	28	29	1.417614
30	0	1	1.433761
30	2	3	1.243266
30	8	9	1.440862
30	12	13	1.464965
30	16	17	1.021577
30	18	19	1.361206
30	20	21	1.026013
30	26	27	1.082559
30	28	29	1.336557
31	0	1	1.188024
31	2	3	1.124324
31	8	9	1.419766
31	12	13	1.382471
31	16	17	1.127155
31	18	19	1.419861
31	20	21	1.422889
31	26	27	1.139784
31	28	29	1.362935
32	0	1	1.080010
32	2	3	0.989723
32	4	7	1.148211
32	8	9	1.077288
32	12	13	1.296203
32	16	17	1.245860
32	18	19	1.215739
32	20	21	1.253150
32	26	27	1.331071
32	28	29	1.097055
33	0	1	1.212522
33	2	3	1.191246
33	4	7	1.122350
33	8	9	1.246196
33	12	13	1.593613
33	16	17	1.170639
33	18	19	1.443902
33	20	21	1.144035
33	26	27	1.186229
33	28	29	1.219840
34	0	1	1.477435
34	2	3	1.185097
34	4	7	1.142694
34	8	9	1.275022
34	12	13	1.384531
34	16	17	1.173817
34	18	19	1.297741
34	20	21	1.459865
34	26	27	0.986154
34	28	29	1.490387
35	0	1	1.182232
35	2	3	1.405173
35	4	7	1.441037
35	8	9	1.440078
35	12	13	1.277028
35	16	17	1.251982
35	18	19	1.238299
35	20	21	1.230975
35	26	27	1.189005
35	28	29	1.050747
36	2	3	1.343667
36	4	7	1.254019
36	8	9	1.525026
36	12	13	1.116814
36	16	17	1.429337
36	18	19	1.166441
36	20	21	1.290764
36	26	27	1.176609
36	28	29	1.497538
37	2	3	1.411818
37	4	7	1.098692
37	8	9	1.427138
37	12	13	1.220786
37	16	17	1.483930
37	18	19	1.379489
37	20	21	1.127060
37	26	27	1.285603
37	28	29	1.194627
38	2	3	1.466344
38	4	7	1.203795
38	8	9	1.135601
38	12	13	1.262299
38	16	17	1.521600
38	18	19	1.128216
38	20	21	1.345838
38	26	27	1.161932
38	28	29	1.062167
39	4	7	1.475917
39	8	9	1.186773
39	12	13	1.336079
39	16	17	1.102712
39	18	19	1.467567
39	26	27	1.368481
39	28	29	1.105958
40	2	3	1.445105
40	4	7	1.127546
40	8	9	1.417926
40	12	13	1.285708
40	16	17	1.354105
40	18	19	1.327619
40	26	27	1.472897
40	28	29	1.242472
41	2	3	1.206023
41	4	7	0.936274
41	8	9	1.246860
41	12	13	1.133004
41	16	17	1.337001
41	18	19	1.070765
41	26	27	1.209769
41	28	29	1.389714
42	2	3	1.403075
42	4	7	1.021832
42	8	9	1.110941
42	10	11	1.476437
42	12	13	1.333314
42	16	17	1.292653
42	18	19	1.213352
42	26	27	1.212639
42	28	29	1.427233
43	2	3	1.253906
43	4	7	0.977816
43	8	9	1.041916
43	10	11	1.450741
43	12	13	1.314867
43	16	17	1.126562
43	18	19	1.271880
43	26	27	1.215626
43	28	29	1.508242
44	2	3	1.428429
44	4	7	1.333051
44	8	9	1.030049
44	10	11	1.053311
44	12	13	1.209820
44	16	17	1.104027
44	18	19	1.456326
44	26	27	1.334425
44	28	29	1.160679
45	2	3	1.212639
45	4	7	1.004032
45	8	9	1.127527
45	10	11	1.337105
45	12	13	1.306301
45	16	17	1.458623
45	18	19	1.411447
45	20	21	1.293090
45	26	27	1.383421
45	28	29	1.243383
46	2	3	1.471993
46	4	7	1.486720
46	8	9	1.315301
46	10	11	1.084556
46	12	13	1.404906
46	16	17	1.373068
46	18	19	1.191738
46	20	21	1.431145
46	26	27	1.568752
46	28	29	1.269391
47	2	3	1.328705
47	4	7	1.084532
47	8	9	1.452908
47	10	11	1.194335
47	12	13	1.125494
47	16	17	1.412448
47	18	19	1.051794
47	20	21	1.415719
47	26	27	1.055660
47	28	29	1.036776
48	2	3	1.047497
48	4	7	1.339039
48	8	9	1.482366
48	10	11	1.008754
48	12	13	1.397412
48	16	17	1.485374
48	18	19	1.337749
48	20	21	1.331137
48	26	27	0.980383
48	28	29	1.321879
49	2	3	1.040537
49	4	7	1.437658
49	8	9	1.228458
49	10	11	1.345650
49	12	13	1.183059
49	16	17	1.175187
49	18	19	1.224944
49	20	21	1.067997
49	26	27	1.200575
49	28	29	1.262666
50	2	3	1.120246
50	4	7	1.085767
50	8	9	1.359861
50	10	11	1.197813
50	12	13	1.468449
50	16	17	1.290012
50	18	19	0.959860
50	20	21	1.134780
50	26	27	1.300908
50	28	29	1.030871
51	2	3	1.530708
51	4	7	1.159869
51	8	9	1.416144
51	10	11	1.451980
51	12	13	1.252760
51	16	17	1.294287
51	18	19	1.452043
51	20	21	1.283176
51	26	27	1.259962
51	28	29	1.493459
52	2	3	1.439951
52	4	7	1.468818
52	8	9	1.423642
52	10	11	1.312688
52	12	13	1.066012
52	16	17	1.408909
52	18	19	1.385371
52	20	21	1.194611
52	26	27	1.353081
52	28	29	1.256265
53	2	3	1.220746
53	4	7	1.351369
53	8	9	1.300555
53	10	11	1.306630
53	12	13	1.320414
53	16	17	1.479504
53	18	19	0.966756
53	20	21	1.080652
53	26	27	1.447991
53	28	29	1.349505
54	2	3	1.131719
54	4	7	1.327399
54	8	9	1.048374
54	10	11	1.083756
54	12	13	1.365540
54	16	17	1.467551
54	18	19	1.368820
54	20	21	1.359765
54	26	27	1.371493
54	28	29	1.268250
55	2	3	1.313951
55	4	7	1.351460
55	8	9	0.993482
55	10	11	1.362717
55	12	13	1.173485
55	16	17	1.374464
55	18	19	1.409526
55	20	21	1.114248
55	26	27	1.152547
55	28	29	1.180429
56	2	3	1.084444
56	4	7	1.341115
56	8	9	1.312084
56	10	11	1.261630
56	12	13	1.102766
56	16	17	1.352797
56	18	19	1.314370
56	20	21	1.352918
56	26	27	1.042640
56	28	29	1.249649
57	2	3	1.413350
57	4	7	1.044150
57	8	9	1.158559
57	10	11	1.113924
57	12	13	1.231371
57	16	17	1.323916
57	18	19	1.388779
57	20	21	1.475117
57	26	27	1.333326
57	28	29	1.326307
58	2	3	0.966893
58	4	7	1.062192
58	8	9	1.263212
58	10	11	1.480208
58	12	13	1.137700
58	16	17	1.313296
58	18	19	1.207888
58	20	21	1.103375
58	26	27	1.368858
58	28	29	1.483149
59	2	3	1.353722
59	4	7	1.310756
59	8	9	1.359519
59	10	11	1.361889
59	12	13	1.162217
59	16	17	1.432992
59	18	19	1.184006
59	20	21	1.149221
59	26	27	1.434202
59	28	29	1.119243
60	2	3	1.252352
60	4	7	1.247767
60	8	9	1.291099
60	10	11	1.262426
60	12	13	1.095168
60	16	17	1.410456
60	18	19	1.451309
60	20	21	1.225865
60	26	27	1.102523
60	28	29	1.420832
61	2	3	1.429618
61	4	7	1.337228
61	8	9	1.514477
61	10	11	1.473094
61	12	13	1.232933
61	16	17	1.322739
61	18	19	1.456649
61	20	21	1.066252
61	26	27	1.185592
61	28	29	1.358398
62	2	3	1.245643
62	4	7	1.166752
62	8	9	1.378423
62	10	11	1.417240
62	12	13	1.051252
62	16	17	1.282961
62	18	19	1.228571
62	20	21	1.404420
62	26	27	1.041755
62	28	29	1.438557
63	2	3	1.405590
63	4	7	1.372312
63	8	9	1.361874
63	10	11	1.310622
63	12	13	1.187238
63	16	17	1.413477
63	18	19	1.194633
63	26	27	1.453241
63	28	29	1.398962
64	2	3	1.204941
64	4	7	1.521130
64	8	9	1.344247
64	10	11	1.423121
64	12	13	1.426030
64	16	17	1.254579
64	18	19	1.413537
64	20	21	1.202074
64	26	27	1.421366
64	28	29	1.185407
65	2	3	1.457478
65	4	7	1.418237
65	8	9	1.224188
65	10	11	1.345796
65	12	13	1.422364
65	16	17	1.418520
65	18	19	1.112885
65	20	21	1.412099
65	26	27	1.354652
65	28	29	1.280562
66	2	3	1.503466
66	4	7	1.096593
66	8	9	1.479900
66	10	11	1.355323
66	12	13	1.250689
66	16	17	1.447434
66	18	19	1.422474
66	20	21	1.447458
66	26	27	1.511311
66	28	29	1.363890
67	2	3	1.097676
67	4	7	1.256629
67	8	9	1.389776
67	10	11	1.190896
67	12	13	1.363651
67	16	17	1.299927
67	18	19	1.452574
67	20	21	1.388684
67	26	27	1.364507
67	28	29	1.352476
68	2	3	1.420983
68	8	9	1.156507
68	10	11	1.317067
68	12	13	1.268822
68	16	17	1.419920
68	18	19	1.144637
68	20	21	1.463760
68	26	27	1.222443
68	28	29	1.202155
69	2	3	1.281780
69	8	9	1.410051
69	10	11	1.080077
69	12	13	1.332500
69	16	17	1.153672
69	18	19	0.935995
69	20	21	1.150315
69	26	27	1.483658
69	28	29	1.298986
70	2	3	1.224306
70	8	9	1.189079
70	10	11	1.443547
70	12	13	1.413706
70	18	19	1.469571
70	20	21	1.329095
70	26	27	1.381421
70	28	29	1.305615
71	2	3	1.349802
71	8	9	1.098453
71	10	11	1.383133
71	18	19	1.255877
71	20	21	1.301040
71	26	27	1.045195
71	28	29	1.176823
72	2	3	1.488324
72	8	9	1.183948
72	10	11	1.446870
72	18	19	1.267258
72	20	21	1.278427
72	26	27	1.368472
72	28	29	1.278476
73	2	3	1.025635
73	8	9	1.170993
73	10	11	1.128248
73	18	19	1.150098
73	20	21	1.358905
73	26	27	1.207872
73	28	29	1.376281
74	2	3	1.481148
74	8	9	1.363718
74	10	11	1.336131
74	12	13	1.102807
74	18	19	1.490891
74	20	21	1.448090
74	26	27	1.337085
74	28	29	1.217142
75	2	3	1.166729
75	8	9	1.304025
75	10	11	1.269247
75	12	13	1.306833
75	18	19	1.332839
75	20	21	1.478100
75	26	27	0.985393
75	28	29	1.249106
76	2	3	1.419387
76	8	9	1.306828
76	10	11	1.392054
76	12	13	1.456285
76	18	19	1.397006
76	20	21	1.090759
76	26	27	1.254131
76	28	29	1.370457
77	2	3	1.093253
77	8	9	1.373479
77	10	11	1.481958
77	12	13	1.261026
77	18	19	1.338710
77	20	21	1.393114
77	26	27	1.217962
77	28	29	1.148093
78	2	3	1.126082
78	8	9	1.274459
78	10	11	1.391847
78	12	13	1.296008
78	20	21	1.086816
78	26	27	1.344451
78	28	29	1.248601
79	2	3	1.284042
79	8	9	1.454615
79	10	11	1.220305
79	12	13	1.130516
79	16	17	1.396026
79	20	21	1.304560
79	26	27	1.351533
79	28	29	1.155971
80	2	3	1.272854
80	8	9	1.123825
80	10	11	1.280967
80	12	13	1.024706
80	16	17	1.164100
80	20	21	1.218570
80	26	27	1.370474
80	28	29	1.057113
81	2	3	1.433618
81	8	9	1.440117
81	10	11	1.461547
81	12	13	1.315848
81	16	17	1.153680
81	20	21	1.461104
81	26	27	1.498615
81	28	29	1.205696
82	2	3	1.327002
82	8	9	1.392687
82	10	11	1.508266
82	12	13	1.361767
82	16	17	1.377256
82	20	21	1.406467
82	26	27	1.436410
82	28	29	1.030916
83	2	3	1.205257
83	8	9	1.480711
83	10	11	1.159880
83	12	13	1.389059
83	16	17	1.208016
83	20	21	1.221102
83	26	27	1.444926
83	28	29	1.006756
84	2	3	1.199804
84	8	9	1.179061
84	10	11	1.271816
84	12	13	1.197244
84	16	17	1.173856
84	20	21	1.377866
84	26	27	1.309910
84	28	29	1.353470
85	2	3	1.429756
85	8	9	1.221357
85	10	11	1.112595
85	12	13	1.323530
85	16	17	1.247117
85	20	21	1.147635
85	26	27	1.143737
85	28	29	1.399786
86	2	3	1.340854
86	8	9	1.411999
86	10	11	1.471985
86	12	13	0.957027
86	16	17	1.204735
86	20	21	1.570943
86	26	27	1.498073
86	28	29	1.409704
87	2	3	1.141361
87	8	9	1.227735
87	10	11	1.114671
87	12	13	1.324533
87	16	17	1.269699
87	20	21	1.311029
87	26	27	1.467174
87	28	29	1.231666
88	2	3	1.469072
88	8	9	1.225379
88	10	11	1.113887
88	12	13	1.326926
88	16	17	1.461116
88	20	21	1.227354
88	26	27	1.442414
88	28	29	1.140478
89	2	3	1.286758
89	8	9	1.031060
89	10	11	1.152840
89	12	13	1.241712
89	16	17	1.385116
89	20	21	1.269055
89	26	27	1.301084
89	28	29	1.422046
90	2	3	1.165976
90	8	9	1.202415
90	10	11	1.362863
90	12	13	1.161572
90	16	17	1.249561
90	20	21	1.304240
90	26	27	1.097969
90	28	29	1.360368
91	2	3	1.363853
91	8	9	1.227412
91	10	11	1.347114
91	12	13	1.141783
91	16	17	1.320629
91	20	21	1.086293
91	26	27	1.348010
91	28	29	1.074914
92	2	3	1.448700
92	8	9	1.096150
92	10	11	1.184942
92	12	13	1.095847
92	16	17	1.352884
92	20	21	1.256095
92	26	27	1.191418
92	28	29	1.432218
93	2	3	1.291934
93	8	9	1.245260
93	10	11	1.275478
93	12	13	1.256191
93	16	17	1.151226
93	20	21	1.414596
93	26	27	1.314153
93	28	29	1.125782
94	2	3	1.127419
94	8	9	1.408834
94	10	11	1.233881
94	12	13	1.274111
94	16	17	1.332338
94	20	21	1.447299
94	26	27	1.478069
94	28	29	1.046310
95	2	3	1.354096
95	8	9	1.389138
95	10	11	1.228369
95	12	13	1.050115
95	16	17	1.286814
95	20	21	1.426445
95	26	27	1.042022
95	28	29	1.240895
96	2	3	1.248215
96	8	9	1.099431
96	10	11	1.419088
96	12	13	1.402085
96	16	17	1.392848
96	20	21	1.212834
96	26	27	1.337752
96	28	29	1.101966
97	2	3	1.087981
97	8	9	1.475771
97	10	11	1.065491
97	12	13	1.058373
97	16	17	1.121702
97	20	21	1.243906
97	26	27	1.415296
97	28	29	1.308522
98	2	3	1.215059
98	8	9	1.330188
98	10	11	1.439474
98	12	13	1.425853
98	16	17	1.183380
98	20	21	1.329159
98	26	27	1.470435
98	28	29	1.444784
99	2	3	1.257698
99	8	9	1.169840
99	10	11	1.483417
99	12	13	1.082806
99	16	17	1.008941
99	20	21	1.241009
99	26	27	1.366691
99	28	29	1.044462
100	2	3	1.549979
100	8	9	1.406172
100	10	11	1.348542
100	12	13	1.364867
100	16	17	1.185894
100	20	21	1.034538
100	26	27	1.474966
100	28	29	1.196276
101	2	3	1.516582
101	8	9	1.450968
101	10	11	1.135214
101	12	13	1.423381
101	16	17	1.132353
101	20	21	1.361881
101	26	27	1.113530
101	28	29	1.100365
102	2	3	1.450591
102	8	9	1.399229
102	10	11	1.392026
102	12	13	1.268748
102	16	17	1.219303
102	20	21	1.370130
102	26	27	1.438686
102	28	29	1.359903
103	2	3	1.340336
103	8	9	1.486314
103	10	11	1.109535
103	12	13	1.312790
103	16	17	1.100878
103	20	21	1.323588
103	26	27	1.175330
103	28	29	1.091975
104	2	3	1.096577
104	8	9	1.479053
104	10	11	1.258712
104	12	13	1.332560
104	16	17	1.412558
104	26	27	1.392797
104	28	29	1.492255
105	2	3	1.501220
105	8	9	1.410560
105	10	11	1.171619
105	12	13	1.390114
105	16	17	1.039597
105	20	21	1.155989
105	26	27	1.456194
105	28	29	1.191440
106	2	3	1.410848
106	8	9	1.193570
106	10	11	1.476230
106	12	13	1.479310
106	16	17	1.264421
106	20	21	1.156123
106	26	27	1.512753
106	28	29	1.457755
107	2	3	1.405404
107	8	9	1.275094
107	10	11	1.400959
107	12	13	1.495171
107	16	17	1.317694
107	20	21	1.302714
107	26	27	1.275310
107	28	29	1.387660
108	2	3	1.222872
108	8	9	1.431451
108	10	11	1.096146
108	12	13	1.157277
108	16	17	1.301645
108	20	21	1.367574
108	26	27	1.452756
108	28	29	1.249752
109	2	3	1.382144
109	8	9	1.038462
109	10	11	1.090762
109	12	13	1.161077
109	16	17	1.343201
109	20	21	1.139735
109	26	27	1.079615
109	28	29	1.106266
110	2	3	1.245987
110	8	9	1.063917
110	10	11	1.273664
110	12	13	1.109741
110	16	17	1.144018
110	20	21	1.438294
110	26	27	1.465618
110	28	29	1.413509
111	2	3	1.084159
111	8	9	1.112708
111	10	11	1.256035
111	12	13	1.313088
111	16	17	1.335714
111	20	21	1.549537
111	26	27	1.012522
111	28	29	1.088899
112	2	3	1.239767
112	8	9	1.403263
112	10	11	1.462567
112	12	13	1.208896
112	16	17	1.334034
112	20	21	1.219493
112	26	27	1.122080
112	28	29	1.405006
113	2	3	1.054478
113	8	9	1.167035
113	10	11	1.408249
113	12	13	1.376936
113	16	17	1.418526
113	20	21	1.379025
113	26	27	1.369598
113	28	29	1.323089
114	2	3	1.140009
114	8	9	1.045688
114	10	11	1.238430
114	12	13	1.469872
114	16	17	1.222364
114	20	21	1.189471
114	26	27	1.487518
114	28	29	1.302888
115	2	3	1.243429
115	8	9	1.260397
115	10	11	0.979336
115	12	13	1.448931
115	16	17	1.376499
115	20	21	1.512550
115	26	27	1.284455
115	28	29	1.291883
116	2	3	1.118601
116	8	9	1.353928
116	10	11	1.168191
116	12	13	1.263060
116	16	17	1.486755
116	20	21	1.129952
116	26	27	1.414799
116	28	29	1.346969
117	2	3	1.496972
117	8	9	1.183186
117	10	11	1.178144
117	12	13	1.171111
117	16	17	1.297924
117	20	21	1.111116
117	26	27	1.290944
117	28	29	1.423344
118	2	3	1.041261
118	8	9	1.137207
118	10	11	1.320316
118	12	13	1.442367
118	16	17	1.335436
118	20	21	1.267334
118	26	27	1.366124
118	28	29	1.227029
119	2	3	1.453418
119	8	9	1.392880
119	10	11	1.455662
119	12	13	1.475411
119	16	17	1.116672
119	20	21	1.090113
119	26	27	1.478183
119	28	29	1.249542
120	0	23	1.137416
120	2	3	1.382778
120	8	9	1.321802
120	10	11	1.368282
120	12	13	1.349310
120	16	17	1.139031
120	20	21	1.443269
120	26	27	1.367130
120	28	29	1.400981
121	0	23	1.465599
121	2	3	1.120327
121	8	9	1.413873
121	10	11	1.163164
121	12	13	1.198979
121	16	17	1.093958
121	20	21	0.991245
121	26	27	1.459615
121	28	29	1.432725
122	0	23	1.359776
122	2	3	1.277360
122	8	9	1.173672
122	10	11	1.313369
122	12	13	1.195465
122	16	17	1.398486
122	20	21	1.364768
122	26	27	1.279126
122	28	29	1.085477
123	0	23	0.997964
123	2	3	1.261830
123	8	9	1.330722
123	10	11	1.057214
123	12	13	1.317551
123	16	17	1.186992
123	20	21	1.099266
123	26	27	1.309767
123	28	29	1.337034
124	0	23	1.439722
124	2	3	1.208729
124	8	9	1.130106
124	10	11	1.007080
124	12	13	1.368143
124	16	17	1.191392
124	20	21	1.317737
124	26	27	1.464605
124	28	29	1.334832
125	0	23	1.185058
125	2	3	1.214779
125	8	9	1.372723
125	10	11	1.361252
125	12	13	1.493245
125	16	17	1.456169
125	20	21	1.178297
125	26	27	1.520225
125	28	29	1.324689
126	0	23	1.190716
126	2	3	1.058113
126	8	9	1.318235
126	10	11	0.991828
126	12	13	1.415908
126	16	17	1.323894
126	20	21	1.423951
126	26	27	1.237051
126	28	29	1.451804
127	0	23	1.293512
127	2	3	1.065877
127	8	9	1.069343
127	10	11	1.061911
127	12	13	1.382050
127	16	17	1.393244
127	18	19	1.361673
127	20	21	1.519201
127	26	27	1.493107
127	28	29	1.148756
128	0	23	1.087401
128	2	3	1.213648
128	8	9	1.370623
128	10	11	1.398329
128	12	13	1.446676
128	16	17	1.189002
128	18	19	1.424948
128	20	21	1.378510
128	26	27	1.176071
128	28	29	1.430434
129	0	23	1.372340
129	2	3	1.369644
129	8	9	1.377013
129	10	11	1.280009
129	12	13	1.474457
129	16	17	1.239573
129	18	19	1.404083
129	20	21	1.327664
129	26	27	1.363231
129	28	29	1.399122
130	0	23	1.317289
130	2	3	1.454650
130	8	9	1.440661
130	10	11	1.301731
130	12	13	1.380675
130	16	17	1.174700
130	18	19	1.228709
130	20	21	1.471265
130	26	27	1.643229
130	28	29	1.159862
131	0	23	1.097508
131	2	3	0.981580
131	8	9	1.184262
131	10	11	1.059505
131	12	13	1.348050
131	16	17	1.057592
131	18	19	1.226842
131	20	21	1.379475
131	26	27	1.469082
131	28	29	1.293453
132	0	23	1.453829
132	2	3	1.501583
132	8	9	1.087570
132	10	11	1.363478
132	12	13	1.168586
132	16	17	1.473434
132	18	19	1.293660
132	20	21	1.049850
132	26	27	1.214249
132	28	29	1.148575
133	0	23	1.487893
133	2	3	1.327194
133	8	9	1.436813
133	10	11	1.419552
133	12	13	1.267034
133	16	17	1.441537
133	18	19	1.268028
133	20	21	1.435799
133	26	27	1.190336
133	28	29	1.177798
134	0	23	1.136071
134	2	3	1.329158
134	8	9	1.096891
134	10	11	0.980443
134	12	13	1.088623
134	16	17	1.350150
134	20	21	1.419375
134	26	27	1.500667
134	28	29	1.265931
135	0	23	1.350034
135	2	3	1.361213
135	8	9	1.403389
135	10	11	1.436052
135	12	13	1.457545
135	16	17	1.392542
135	20	21	1.153032
135	26	27	1.315911
135	28	29	1.152243
136	0	23	1.085385
136	2	3	1.256237
136	8	9	1.411820
136	10	11	1.373964
136	12	13	1.328339
136	16	17	1.235630
136	18	19	1.372790
136	20	21	1.097499
136	26	27	1.290846
136	28	29	1.153924
137	0	23	1.407951
137	2	3	1.415086
137	8	9	1.228740
137	10	11	1.209093
137	12	13	1.433914
137	16	17	1.498355
137	18	19	1.435971
137	20	21	1.311032
137	26	27	1.082758
137	28	29	1.126998
138	0	23	1.168218
138	2	3	1.300780
138	8	9	1.291702
138	10	11	1.341779
138	12	13	1.188667
138	16	17	1.237675
138	18	19	1.300892
138	20	21	1.468883
138	26	27	1.470680
138	28	29	1.360272
139	0	23	1.248518
139	2	3	1.031215
139	8	9	1.357586
139	10	11	1.394418
139	12	13	1.078680
139	16	17	1.039258
139	18	19	1.452750
139	20	21	1.204289
