# frame	protein_index	rx	ry	rz	r
0	4	-3.110000	3.160000	-5.933000	7.406631
0	6	-0.290000	1.450000	-7.392000	7.538452
0	10	-0.780000	-3.230000	-6.974100	7.725242
0	14	0.560000	-0.600000	-7.498000	7.542785
0	16	0.840000	0.300000	-7.512000	7.564770
0	22	-0.390000	0.771000	-7.258700	7.309943
0	24	2.980000	-1.320000	-6.539000	7.306252
0	5	-1.224000	-4.060000	-5.921400	7.283183
0	7	-1.610000	2.620000	-7.109800	7.746338
0	11	-1.820000	2.189000	-6.891000	7.455870
0	15	3.070000	-0.880000	-6.744000	7.461959
0	17	3.220000	2.360000	-6.266000	7.429721
0	23	0.540000	-2.550000	-6.999300	7.468889
0	25	1.460000	3.550000	-6.710100	7.730430
1	4	1.220000	-0.180000	-7.539000	7.639196
1	6	1.040000	0.950000	-7.158000	7.295277
1	10	-0.850000	-1.330000	-7.174000	7.345589
1	14	1.130000	-0.240000	-7.464000	7.552867
1	16	0.040000	-0.120000	-7.197000	7.198111
1	22	-1.050000	-2.379000	-6.483900	6.985922
1	24	-1.080000	-1.310000	-7.338400	7.532238
1	5	2.622000	-2.670000	-6.407100	7.419886
1	7	-3.200000	1.870000	-6.595400	7.565461
1	11	-2.210000	0.917000	-7.212000	7.598548
1	15	1.450000	-0.120000	-7.454000	7.594670
1	17	0.590000	-0.780000	-7.313200	7.378306
1	23	-1.700000	-3.720000	-6.295100	7.507109
1	25	-0.480000	5.570000	-4.814000	7.377662
2	4	0.100000	-0.020000	-7.355000	7.355707
2	6	1.600000	3.120000	-6.438000	7.330910
2	10	-2.160000	-0.330000	-7.246710	7.568970
2	14	-0.810000	-4.120000	-5.714000	7.090860
2	16	-2.680000	0.990000	-6.717800	7.300092
2	22	-0.040000	-0.943000	-7.246000	7.307213
2	24	-0.130000	0.640000	-7.387000	7.415812
2	5	0.732000	1.140000	-7.495500	7.616951
2	7	-2.320000	1.160000	-7.048900	7.510991
2	11	1.570000	0.285000	-7.220000	7.394222
2	15	0.480000	-1.770000	-7.315000	7.541387
2	17	3.600000	-0.020000	-6.413000	7.354384
2	23	-0.840000	0.440000	-7.566000	7.625192
2	25	0.260000	0.770000	-7.619900	7.663118
3	4	-0.720000	-0.220000	-7.479000	7.516797
3	6	1.960000	-1.560000	-6.903000	7.343474
3	10	-1.370000	1.750000	-7.061900	7.403366
3	14	1.750000	-2.190000	-6.718000	7.279432
3	16	-2.500000	-3.210000	-6.435100	7.613449
3	22	-1.850000	-0.943000	-7.203600	7.496906
3	24	3.160000	2.670000	-5.778000	7.106320
3	5	4.150000	1.390000	-6.202743	7.591352
3	7	-1.480000	0.580000	-7.142900	7.317638
3	11	-0.030000	2.353000	-6.892000	7.282662
3	15	1.890000	-1.650000	-6.760000	7.210562
3	17	-0.300000	0.100000	-7.073630	7.080695
3	23	1.490000	-1.600000	-7.328000	7.647201
3	25	1.680000	0.900000	-6.993000	7.248065
4	4	-1.200000	1.020000	-7.148000	7.319447
4	6	2.840000	0.170000	-7.224000	7.764063
4	10	1.060000	1.040000	-7.025100	7.180336
4	14	-1.230000	4.130000	-6.257000	7.597358
4	16	-0.540000	0.170000	-7.365000	7.386726
4	22	2.070000	-0.870000	-7.195700	7.537897
4	24	1.000000	1.160000	-7.475100	7.630381
