# frame	R_proto	L_proto	RB_LB_dist
93	15	22	1.068133
94	7	16	1.285006
94	14	27	1.317201
94	15	22	1.469531
95	7	16	1.224538
95	14	27	1.194142
95	15	22	1.099249
96	7	16	1.134194
96	14	27	1.013550
96	15	22	1.460775
97	7	16	1.163692
97	14	27	1.297815
97	15	22	1.410190
98	7	16	1.252425
98	14	27	1.426216
98	15	22	1.150515
99	7	16	1.377498
99	14	27	1.053838
99	15	22	1.300927
100	7	16	1.473845
100	14	27	1.275089
100	15	22	1.242193
101	7	16	1.271256
101	14	27	1.273813
101	15	22	1.470502
102	7	16	1.189242
102	14	27	1.434542
102	15	22	1.088318
103	7	16	1.121757
103	14	27	1.169594
103	15	22	1.091444
104	7	16	1.094232
104	14	27	1.212600
104	15	22	1.457783
105	14	27	1.422627
105	15	22	1.326063
105	24	25	1.199659
106	14	27	1.097115
106	15	22	1.265062
106	24	25	1.291539
107	14	27	1.071704
107	15	22	1.183237
107	24	25	1.080322
108	14	27	1.008129
108	15	22	1.240597
108	24	25	1.309284
109	14	27	1.261467
109	15	22	1.270238
109	24	25	1.167228
110	14	27	1.235463
110	15	22	1.203252
110	24	25	1.086435
111	6	7	1.410367
111	14	27	1.219422
111	15	22	1.432751
111	24	25	1.396533
112	6	7	1.370097
112	14	27	1.210197
112	15	22	1.230407
112	24	25	1.296534
113	6	7	1.449650
113	14	27	1.410895
113	15	22	1.116678
113	24	25	1.463593
114	6	7	119.365729
114	14	27	1.035543
114	15	22	1.280745
114	24	25	1.534115
115	6	7	1.399131
115	14	27	1.177376
115	15	22	1.383359
115	24	25	1.138929
116	6	7	1.094556
116	8	9	1.545401
116	14	27	1.390616
116	15	22	1.427792
116	24	25	1.235254
117	6	7	1.199848
117	8	9	1.270257
117	14	27	1.317989
117	15	22	1.309182
117	24	25	1.089828
118	6	7	1.070376
118	8	9	1.433815
118	14	27	1.440417
118	15	22	1.398488
118	24	25	1.414815
119	6	7	1.427357
119	8	9	1.155372
119	14	27	1.243198
119	15	22	1.289225
119	24	25	1.198001
120	6	7	1.179223
120	8	9	1.382334
120	14	27	1.377937
120	15	22	1.448300
120	24	25	1.085544
121	6	7	118.993460
121	8	9	1.307086
121	14	27	1.284883
121	15	22	1.382086
121	24	25	1.082933
122	6	7	1.057004
122	8	9	1.108495
122	14	27	1.277294
122	15	22	1.083831
122	24	25	1.091312
123	6	7	1.437646
123	8	9	1.034933
123	14	27	1.171565
123	15	22	1.247335
123	24	25	1.444782
124	6	7	1.382215
124	8	9	1.403337
124	14	27	1.066989
124	15	22	1.134447
124	24	25	1.403089
125	6	7	1.066320
125	8	9	1.241316
125	14	27	1.251845
125	15	22	1.094605
125	24	25	1.161812
126	6	7	1.458556
126	8	9	1.278515
126	14	27	1.467698
126	15	22	1.204279
126	24	25	1.190994
127	6	7	1.438008
127	8	9	1.364151
127	14	27	1.390368
127	15	22	1.123130
127	24	25	1.472964
128	6	7	1.315102
128	8	9	1.062096
128	14	27	1.481929
128	24	25	1.297015
129	6	7	1.392391
129	8	9	1.420300
129	14	27	1.219995
129	24	25	1.370478
130	6	7	1.352440
130	8	9	1.161266
130	14	27	1.447673
130	24	25	1.219914
131	5	18	1.401343
131	6	7	1.378517
131	8	9	1.069047
131	14	27	1.294402
131	24	25	1.025119
132	5	18	1.265298
132	6	7	119.645588
132	8	9	1.174245
132	14	27	1.476694
132	24	25	1.132117
133	5	18	1.455819
133	6	7	1.240403
133	8	9	1.214475
133	14	27	1.158706
133	24	25	1.437241
134	5	18	1.366821
134	6	7	1.365641
134	8	9	1.485342
134	14	27	1.442704
134	22	23	1.263804
134	24	25	1.212450
135	5	18	1.097532
135	6	7	1.143810
135	8	9	1.530947
135	14	27	1.105443
135	22	23	1.269773
136	5	18	1.429578
136	6	7	1.451478
136	8	9	1.316368
136	14	27	1.404731
136	22	23	1.460273
137	5	18	1.310015
137	6	7	1.247052
137	8	9	1.360391
137	14	27	1.518367
137	22	23	1.057263
138	5	18	1.368512
138	6	7	1.152963
138	8	9	1.283785
138	14	27	1.054888
138	22	23	1.137290
139	5	18	1.278270
139	6	7	1.304655
139	8	9	1.456146
139	14	27	1.491508
139	22	23	1.361639
140	5	18	1.148824
140	6	7	1.124833
140	8	9	1.361931
140	14	27	1.167754
140	22	23	1.190412
141	5	18	1.095042
141	6	7	1.157028
141	8	9	1.358602
141	14	27	1.082828
141	22	23	1.101337
142	5	18	1.463345
142	6	7	1.345150
142	8	9	1.470868
142	14	27	1.161518
142	15	22	1.056743
143	6	7	1.283427
143	8	9	1.381595
143	14	27	1.329705
143	15	22	1.105074
144	6	7	1.455189
144	8	9	1.265558
144	14	27	1.238438
144	15	22	1.146691
145	6	7	1.036344
145	8	9	1.144044
145	14	27	1.547870
145	15	22	1.307159
146	6	7	1.086013
146	8	9	1.068235
146	14	27	1.185622
146	15	22	1.196624
147	6	7	1.316094
147	8	9	1.477067
147	14	27	1.447019
147	15	22	1.309238
148	6	7	1.306114
148	8	9	1.343197
148	14	27	1.493429
148	15	22	1.058181
149	5	18	1.438425
149	6	7	1.196513
149	8	9	1.325084
149	14	27	1.380172
149	15	22	1.363842
150	5	18	1.008611
150	6	7	1.113286
150	8	9	1.258301
150	14	27	1.369288
150	15	22	1.372099
151	5	18	1.504004
151	6	7	1.021672
151	8	9	1.345899
151	14	27	1.202837
151	15	22	1.402346
152	4	11	1.309507
152	5	18	1.327582
152	6	7	1.093291
152	8	9	1.400953
152	14	27	1.111835
152	15	22	1.055922
153	4	11	1.437917
153	5	18	1.240183
153	6	7	1.176204
153	8	9	0.959390
153	14	27	1.098424
153	15	22	0.999068
154	4	11	1.420797
154	5	18	1.255848
154	6	7	1.231414
154	8	9	1.163748
154	15	22	1.277695
155	4	11	1.082479
155	5	18	1.360936
155	6	7	1.170072
155	8	9	1.393199
155	15	22	1.287920
156	4	11	1.320529
156	5	18	1.405979
156	6	7	1.497145
156	8	9	1.322284
156	15	22	1.421257
157	4	11	1.313039
