# frame	protein_index	rx	ry	rz	r
16	9	-0.330000	0.320000	-6.965000	6.980152
16	19	-0.310000	3.220000	-5.880000	6.711103
17	10	-2.110000	-3.360000	-5.722000	6.962972
17	16	-3.840000	-1.653200	-5.358000	6.796090
17	26	1.720000	-3.550000	-5.817000	7.028399
17	7	0.400000	2.270930	-6.841000	7.219169
17	9	0.490000	-2.490000	-6.162000	6.664116
17	19	-0.310000	3.230000	-6.046200	6.861890
18	10	-3.350000	1.420000	-5.937000	6.963251
18	16	-2.760000	-2.168400	-5.853000	6.824747
18	24	-3.250000	-0.260000	-6.145300	6.956638
18	26	-0.740000	-3.560000	-6.095200	7.097370
18	7	0.980000	1.016700	-6.313000	6.469007
18	9	-1.500000	3.160000	-6.239000	7.152672
18	19	-2.270000	3.730000	-5.498700	7.021503
18	25	4.110000	0.240000	-5.974900	7.255972
19	10	-1.130000	0.760000	-6.242000	6.388823
19	16	-4.210000	-1.506600	-5.756000	7.288723
19	24	-1.620000	0.680000	-6.467200	6.701602
19	26	1.940000	-3.110000	-6.263300	7.257040
19	7	-1.000000	2.101900	-6.668000	7.062592
19	9	0.160000	2.410000	-6.343000	6.787293
19	19	-2.660000	3.220000	-5.526000	6.926809
19	25	4.080000	1.480000	-5.826900	7.265643
20	10	-1.630000	-0.890000	-6.776000	7.025893
20	16	-2.770000	-0.599000	-6.377000	6.978383
20	24	-1.720000	-0.300000	-7.007700	7.221929
20	26	1.180000	-4.000000	-5.708300	7.069448
20	7	4.120000	2.002100	-5.792700	7.384997
20	9	1.050000	3.290000	-6.019800	6.940071
20	19	-1.890000	2.670000	-6.303600	7.101857
20	25	3.010000	-2.090000	-5.372100	6.502896
21	10	0.060000	-1.220000	-6.776000	6.885214
21	16	-0.240000	-1.859000	-6.775000	7.029517
21	24	-1.330000	-1.000000	-6.702000	6.905484
21	26	1.860000	-4.740000	-5.309000	7.356132
21	7	2.700000	2.339900	-6.053000	7.028794
21	9	2.880000	2.580000	-5.634800	6.833869
21	19	-0.380000	1.680000	-6.636400	6.856282
21	25	4.030000	-1.280000	-5.735400	7.125596
22	10	-0.900000	-3.680000	-5.918000	7.026743
22	16	-1.590000	-2.026000	-6.898000	7.363096
22	24	-3.490000	0.950000	-5.793000	6.829455
22	26	-0.590000	-6.010000	-4.217000	7.365547
22	7	1.750000	2.044500	-6.860000	7.368995
22	9	-0.310000	-0.820000	-6.683000	6.740251
22	19	-1.230000	2.320000	-6.815000	7.303391
22	25	3.350000	-0.110000	-6.342000	7.173253
23	10	-1.040000	-0.670000	-6.800000	6.911621
23	16	-3.010000	-1.433400	-5.973000	6.840429
23	24	-2.580000	2.080000	-6.094000	6.936832
23	26	0.680000	-4.310000	-5.078000	6.695116
23	7	1.300000	0.707300	-6.260500	6.433050
23	9	0.310000	3.240000	-5.663300	6.531973
23	19	-0.700000	3.370000	-6.207000	7.097447
23	25	3.870000	-0.120000	-5.779900	6.956906
24	10	-2.740000	-0.340000	-6.642000	7.193008
24	16	-2.680000	-1.502800	-5.828000	6.588353
24	24	-4.580000	0.290000	-5.310200	7.018456
24	26	1.290000	-3.390000	-6.189000	7.173557
24	7	1.690000	1.082500	-6.675700	6.970859
24	9	-0.300000	2.110000	-7.049000	7.364136
24	19	0.010000	3.760000	-6.186500	7.239508
24	25	3.220000	0.190000	-5.998750	6.810984
25	10	-1.200000	-1.500000	-6.806000	7.071891
25	16	-1.970000	2.107300	-6.303000	6.931769
25	24	-3.610000	-0.890000	-6.036000	7.089252
25	26	0.010000	-2.680000	-6.486500	7.018346
25	7	0.490000	1.004200	-6.940400	7.029770
25	9	0.460000	1.480000	-6.881800	7.054160
25	19	-3.720000	2.040000	-5.704000	7.108841
25	25	3.450000	-0.820000	-5.847800	6.838981
26	10	-0.540000	-3.600000	-6.628000	7.561877
26	16	-3.730000	-0.684000	-5.659000	6.812124
26	24	-3.770000	-0.640000	-6.193300	7.278699
26	26	2.120000	-2.690000	-6.796000	7.610264
26	7	1.000000	-1.325100	-7.076000	7.268127
26	9	-0.010000	0.910000	-7.278000	7.334677
26	19	0.740000	1.820000	-7.032510	7.301794
26	25	2.110000	1.240000	-6.563000	7.004475
27	10	-0.360000	-1.980000	-6.792000	7.083874
27	16	-1.250000	0.166000	-6.162000	6.289698
27	24	-1.940000	0.520000	-6.207800	6.524629
27	26	1.050000	-4.040000	-5.692100	7.058619
27	7	1.480000	0.334000	-6.812000	6.978918
27	9	0.600000	1.770000	-6.089000	6.369366
27	19	-2.160000	0.350000	-6.288700	6.658517
27	25	4.210000	1.670000	-5.710700	7.288696
28	10	-2.150000	-0.750000	-5.974000	6.393252
28	16	-0.460000	2.504000	-6.797000	7.258156
28	24	-2.770000	1.010000	-5.660000	6.381896
28	26	0.270000	-2.070000	-6.426000	6.756573
28	7	1.270000	0.753000	-6.715500	6.875889
28	9	-1.140000	3.190000	-5.511000	6.468912
28	19	-3.440000	1.910000	-5.904380	7.095309
28	25	2.950000	1.950000	-5.848700	6.834639
29	10	1.600000	0.290000	-6.808000	6.999497
29	16	-1.600000	1.884000	-6.722000	7.162035
29	24	-3.300000	1.310000	-5.992200	6.965096
29	26	1.240000	-4.610000	-5.382000	7.194138
29	7	-0.430000	-0.098200	-6.524000	6.538893
29	9	3.560000	1.990000	-5.864000	7.142842
29	19	-1.030000	2.620000	-6.558100	7.136804
29	25	1.640000	2.280000	-5.812000	6.455025
30	10	-0.230000	-1.200000	-6.060000	6.181950
30	24	-1.660000	-2.310000	-6.457000	7.055817
30	26	0.470000	-4.170000	-4.905000	6.455139
30	9	0.740000	1.720000	-6.310000	6.581953
30	19	0.320000	3.450000	-6.666600	7.513219
30	25	1.920000	0.450000	-6.317400	6.618039
31	10	-0.200000	0.800000	-7.291000	7.337485
31	24	-3.760000	-0.910000	-6.178000	7.289265
31	26	0.630000	-3.340000	-6.303300	7.161291
31	9	0.550000	2.660000	-6.500000	7.044721
31	19	0.670000	2.920000	-6.126400	6.819683
31	25	-0.430000	0.560000	-6.783000	6.819647
32	10	-2.850000	0.380000	-6.640000	7.235779
32	24	-0.410000	-0.440000	-6.788000	6.814591
32	26	0.120000	-2.360000	-6.687900	7.093096
32	9	-0.860000	1.450000	-7.439000	7.627635
32	19	0.450000	1.060000	-6.710100	6.808197
32	25	0.220000	1.750000	-6.907300	7.128934
33	10	-0.030000	-2.620000	-6.499000	7.007303
33	24	-1.470000	-2.910000	-6.027000	6.852279
33	26	-2.380000	-2.940000	-5.175900	6.410768
33	9	0.380000	0.860000	-7.120000	7.181810
33	19	-2.370000	1.120000	-6.366600	6.885121
33	25	1.510000	-0.340000	-6.965700	7.135592
34	10	-1.120000	-1.480000	-6.869000	7.115333
34	24	-1.600000	-1.660000	-6.547000	6.941096
34	26	1.260000	-2.200000	-6.452900	6.933074
34	9	-1.770000	3.320000	-6.461000	7.476618
34	19	1.860000	2.450000	-6.381600	7.084273
34	25	0.790000	0.880000	-6.907000	7.007507
35	10	1.880000	-1.660000	-6.140000	6.632466
35	24	-0.360000	-0.810000	-6.952200	7.008479
35	26	0.770000	-4.410000	-5.229000	6.883563
35	9	0.960000	2.560000	-6.495000	7.047001
35	19	-0.510000	2.500000	-6.527000	7.007983
35	25	2.180000	2.880000	-6.643500	7.561937
36	10	-1.210000	-2.670000	-6.224000	6.879766
36	24	-0.700000	-2.860000	-6.527000	7.160400
36	26	-1.240000	-3.700000	-5.851500	7.033324
36	9	-0.370000	2.610000	-6.538000	7.049429
36	19	-2.350000	2.900000	-6.073500	7.128808
36	25	1.680000	1.280000	-6.793400	7.114147
37	10	1.020000	-2.950000	-6.465000	7.179075
37	24	-0.480000	0.510000	-7.222500	7.256377
37	26	0.270000	-2.700000	-6.295100	6.855012
37	9	1.060000	4.310000	-5.248000	6.873224
37	19	0.210000	3.330000	-6.159286	7.004984
37	25	-0.690000	2.600000	-6.145900	6.708814
38	24	1.230000	-2.120000	-6.795000	7.223526
38	26	-1.000000	-3.730000	-5.731000	6.910663
38	19	-0.560000	1.740000	-6.874400	7.113268
38	25	2.630000	1.920000	-5.502100	6.393466
39	18	-3.680000	3.880000	-3.783000	6.550411
39	24	-2.400000	-0.690000	-6.519000	6.980936
39	26	-0.770000	-1.250000	-6.888300	7.043016
39	19	-0.470000	2.060000	-6.997300	7.309358
39	21	2.800000	-4.050000	-4.852000	6.912626
39	25	0.480000	1.970000	-6.923070	7.213889
40	18	-3.220000	4.690000	-3.379900	6.617267
40	24	0.470000	-0.650000	-7.132400	7.177362
40	26	-2.230000	-1.530000	-6.520000	7.058626
40	19	-1.050000	1.260000	-6.953650	7.144463
40	21	2.100000	-3.710000	-5.082800	6.633925
40	25	2.860000	1.620000	-5.958000	6.804540
41	18	-4.070000	4.120000	-3.637000	6.838645
41	24	0.120000	1.480000	-7.192000	7.343682
41	26	-1.180000	-0.740000	-7.063500	7.199516
41	19	3.400000	0.840000	-5.765700	6.746028
41	21	0.990000	-4.070000	-4.089500	5.853974
41	25	2.500000	2.070000	-6.635200	7.386527
42	18	-2.330000	3.460000	-5.384680	6.811408
42	24	-1.340000	0.520000	-7.265000	7.405824
42	26	-1.630000	-0.490000	-6.810000	7.019480
42	19	0.230000	2.860000	-6.661000	7.252684
42	21	3.070000	-5.010000	-3.447900	6.812710
42	25	1.860000	1.130000	-6.398700	6.758688
43	18	-2.150000	2.680000	-5.142400	6.184592
43	24	-0.070000	0.650000	-6.357000	6.390528
43	26	-1.180000	-1.980000	-6.605600	6.996195
43	19	2.100000	1.190000	-6.794800	7.210784
43	21	2.610000	-5.200000	-3.881400	6.994095
43	25	2.710000	0.570000	-6.628900	7.184102
44	18	-2.350000	3.620000	-5.002010	6.606588
44	24	-2.090000	-1.940000	-6.309000	6.923524
44	26	-0.660000	-3.410000	-6.168000	7.078695
44	19	2.040000	-0.350000	-6.742400	7.052947
44	21	1.280000	-4.370000	-4.271000	6.243136
44	25	1.260000	-0.530000	-7.463300	7.587447
45	18	0.900000	3.692000	-5.107400	6.366035
45	24	-1.120000	0.240000	-6.768700	6.864933
45	21	2.640000	-4.910000	-3.260000	6.457964
45	25	1.070000	0.350000	-6.359400	6.458279
