# frame   <Re>    <Re^2>
373 15.294175 234.570271
374 14.692394 215.985209
375 14.485864 210.283111
376 14.878519 221.916034
377 15.014018 225.511067
378 14.952250 224.102274
379 14.160780 200.913347
380 14.428822 208.354234
381 14.345408 205.882007
382 14.710432 216.525944
383 14.725249 217.106225
384 14.617618 214.207838
385 14.177036 201.062219
386 14.679140 215.483697
387 14.990539 224.734802
388 15.123964 228.823298
389 14.665347 215.073305
390 14.926953 222.948334
391 15.178831 230.476573
392 14.754880 217.948122
393 14.723621 218.210608
394 13.856930 192.998228
395 14.189498 201.421679
396 14.592434 213.514107
397 14.086502 199.249953
398 13.912083 193.970811
399 14.766867 218.546249
400 14.670957 215.338868
401 14.290620 204.778872
402 14.493011 210.311895
403 14.363925 206.838279
404 14.626732 214.093913
405 14.307322 205.043367
406 14.881195 221.839111
407 14.827096 219.883093
408 14.480394 209.700420
409 13.669873 186.893018
410 14.397862 207.362033
411 13.875304 192.711868
412 13.971890 195.323881
413 14.608391 214.458449
414 14.354254 206.699373
415 13.976157 195.424160
416 13.910602 193.563168
417 14.256489 203.430154
418 14.620353 213.926942
419 14.373156 206.858014
420 15.012164 225.479082
421 14.823997 219.819725
422 15.371558 236.501812
423 14.648956 214.767321
424 13.721665 189.954490
425 13.995513 196.669991
426 14.778813 218.668365
427 14.527903 211.829151
428 14.332854 205.506937
429 14.970472 224.160072
430 14.936069 223.680158
431 14.406988 209.469184
432 14.177392 201.486750
433 14.159283 200.996589
434 14.120496 199.852367
435 13.654508 186.659953
436 13.538742 183.686269
437 14.717350 217.014340
438 13.674205 188.101033
439 13.924608 194.587329
440 14.612767 213.834584
441 14.171590 201.301640
442 14.481263 209.870479
443 14.576350 212.747734
444 14.588490 213.380766
445 14.768886 218.448332
446 14.932483 223.153279
447 14.470944 210.073435
448 14.798537 219.347006
449 14.764437 218.797593
450 13.691269 188.026346
451 14.432792 208.434142
452 14.003561 197.155521
453 14.624442 214.043807
454 15.255783 232.850727
455 14.746100 217.601710
456 14.644879 215.171488
457 14.616879 213.977029
458 14.307033 205.076168
459 14.408442 207.657571
460 14.548425 212.362192
461 14.863494 221.230922
462 14.578541 212.632923
463 14.839139 220.250214
464 14.598618 213.587577
465 14.789742 219.007049
466 14.573639 212.742015
467 14.993361 225.004945
468 15.261750 233.089702
469 14.192085 202.514731
470 14.333002 206.314492
471 14.950331 223.540001
472 14.362608 206.341015
473 14.804348 219.271849
474 15.104405 228.161475
475 14.395777 207.407182
476 15.318928 234.790359
477 14.734884 217.594591
478 15.024632 225.847138
479 15.385748 236.805742
480 15.319347 234.723330
481 15.356646 235.925467
482 15.121765 228.777372
483 14.872465 221.200747
484 14.838019 220.375385
485 14.054378 198.200331
486 14.285042 204.104047
487 14.159717 200.643294
488 14.259405 204.153159
489 14.053708 197.583780
490 15.080477 227.429310
491 14.473493 210.391265
492 15.330352 235.157095
493 14.843312 221.075044
494 14.771521 218.853608
495 14.661538 215.033579
496 14.891227 222.257651
497 14.857883 221.559756
498 14.760387 218.206864
499 14.711123 216.476258
