# frame  R_idx  L_idx   Re    Re2
0 7 16 14.013240 196.370908
0 9 10 14.709970 216.383204
0 19 26 14.017518 196.490804
0 24 25 15.024294 225.729425
1 7 16 13.992723 195.796304
1 9 10 14.852432 220.594725
1 19 26 14.435023 208.369881
1 24 25 15.306248 234.281225
2 7 16 14.737094 217.181945
2 9 10 14.554171 211.823904
2 19 26 13.492078 182.036169
2 24 25 14.889485 221.696756
3 7 16 15.186695 230.635716
3 9 10 14.093793 198.635000
3 19 26 14.250778 203.084661
3 24 25 14.886531 221.608809
4 7 16 14.797676 218.971222
4 9 10 14.498023 210.192661
4 19 26 14.807393 219.258901
4 24 25 14.871775 221.169704
5 7 16 14.671592 215.255625
5 9 10 15.187064 230.646900
5 19 26 14.617133 213.660589
5 24 25 14.936260 223.091864
6 9 10 14.414220 207.769749
6 19 26 15.281643 233.528624
6 24 25 14.410177 207.653189
7 9 10 14.650500 214.637149
7 19 26 15.422481 237.852925
7 24 25 15.293855 233.902004
8 9 10 14.474288 209.505000
8 19 26 14.755688 217.730324
8 24 25 14.794962 218.890889
9 7 16 15.315517 234.565057
9 9 10 14.501867 210.304136
9 19 26 14.865209 220.974444
9 24 25 14.385661 206.947229
10 7 16 15.138929 229.187177
10 9 10 14.454796 208.941125
10 19 26 14.387857 207.010424
10 24 25 14.768597 218.111444
11 7 16 15.054884 226.649520
11 9 10 14.737265 217.186969
11 19 26 14.867514 221.042961
11 24 25 14.019793 196.554584
12 7 16 14.781357 218.488519
12 9 10 14.561054 212.024300
12 19 26 14.315235 204.925964
12 24 25 14.730020 216.973481
13 7 16 14.400873 207.385153
13 9 10 14.532058 211.180709
13 19 26 14.894513 221.846525
13 24 25 13.913716 193.591500
14 7 16 14.611837 213.505792
14 9 10 14.927080 222.817716
14 19 26 15.027565 225.827700
15 7 16 14.488359 209.912533
15 9 10 13.756702 189.246849
15 19 26 14.895158 221.865725
16 7 16 14.815697 219.504888
16 9 10 14.167601 200.720925
16 19 26 15.361314 235.969956
17 7 16 14.700670 216.109713
17 9 10 13.147900 172.867284
17 19 26 15.033647 226.010529
18 7 16 14.467809 209.317510
18 9 10 13.564762 184.002761
18 19 26 14.967779 224.034404
18 24 25 15.300038 234.091169
19 7 16 14.550089 211.705100
19 9 10 13.726377 188.413416
19 19 26 15.531521 241.228136
19 24 25 14.911369 222.348929
20 7 16 15.726101 247.310240
20 9 10 15.139759 229.212300
20 19 26 15.228521 231.907864
20 24 25 14.664107 215.036021
21 7 16 15.179613 230.420659
21 9 10 14.314024 204.891284
21 19 26 15.033347 226.001509
21 24 25 14.951603 223.550424
22 7 16 16.133929 260.303675
22 9 10 14.051478 197.444025
22 19 26 14.897754 221.943084
22 24 25 15.113114 228.406224
23 7 16 14.432615 208.300377
23 9 10 14.445052 208.659529
23 19 26 14.854636 220.660200
23 24 25 14.619789 213.738221
24 7 16 14.683093 215.593217
24 9 10 15.136925 229.126500
24 19 26 15.392089 236.916400
24 24 25 14.947454 223.426376
25 7 16 14.604999 213.305985
25 9 10 15.078438 227.359281
25 19 26 14.840075 220.227825
25 24 25 14.971490 224.145509
26 7 16 14.928900 222.872068
26 9 10 15.873406 251.965025
26 19 26 15.831538 250.637600
26 24 25 15.532105 241.246284
27 7 16 14.248231 203.012084
27 9 10 14.805855 219.213341
27 19 26 14.229572 202.480709
27 24 25 14.664810 215.056661
28 7 16 15.069511 227.090154
28 9 10 13.647978 186.267309
28 19 26 14.850337 220.532500
28 24 25 14.083508 198.345209
29 7 16 14.583924 212.690850
29 9 10 14.244099 202.894356
29 19 26 15.461365 239.053816
29 24 25 13.976506 195.342725
30 9 10 13.834940 191.405576
30 19 26 15.196327 230.928341
30 24 25 14.744085 217.388049
31 9 10 14.969130 224.074856
31 19 26 15.121292 228.653469
31 24 25 14.799130 219.014241
32 9 10 15.424952 237.929144
32 19 26 14.939695 223.194500
32 24 25 15.140913 229.247261
33 9 10 15.528479 241.133669
33 19 26 13.389891 179.289176
33 24 25 14.794210 218.868664
34 9 10 15.381379 236.586825
34 19 26 14.856950 220.728969
34 24 25 15.168125 230.072001
35 9 10 14.676744 215.406804
35 19 26 14.969908 224.098136
35 24 25 15.625723 244.163209
36 9 10 14.965670 223.971276
36 19 26 14.846464 220.417496
36 24 25 15.599695 243.350469
37 9 10 15.058085 226.745924
37 19 26 15.125528 228.781600
37 24 25 14.633426 214.137164
38 19 26 15.062621 226.882564
38 24 25 14.334779 205.485881
39 18 21 14.485978 209.843549
39 19 26 15.306486 234.288504
39 24 25 15.355865 235.802600
40 18 21 13.983889 195.549161
40 19 26 15.074620 227.244161
40 24 25 14.643214 214.423704
41 18 21 13.639677 186.040781
41 19 26 14.907451 222.232084
41 24 25 15.501617 240.300141
42 18 21 14.668004 215.150329
42 19 26 15.480485 239.645425
42 24 25 15.316523 234.595864
43 18 21 14.145547 200.096500
43 19 26 15.257038 232.777204
43 24 25 14.488734 209.923400
44 18 21 14.118353 199.327889
44 19 26 14.704659 216.227000
44 24 25 15.614962 243.827049
45 18 21 13.098128 171.560968
45 24 25 14.208047 201.868600
46 0 9 14.135341 199.807869
46 18 21 13.735213 188.656069
46 24 25 14.176892 200.984264
47 0 9 13.703108 187.775161
47 18 21 14.430299 208.233516
47 24 25 14.583309 212.672896
48 0 9 14.948081 223.445129
48 18 21 13.962938 194.963649
48 24 25 14.852176 220.587124
49 0 9 14.293827 204.313496
49 18 21 15.143027 229.311269
49 24 25 14.625392 213.902100
50 0 9 14.948295 223.451536
50 18 21 15.323174 234.799661
50 24 25 14.535013 211.266604
51 0 9 14.028309 196.793449
51 18 21 14.930550 222.921321
51 24 25 14.933213 223.000856
52 0 9 12.564782 157.873749
52 18 21 14.266996 203.547161
52 24 25 14.579352 212.557496
53 0 9 13.502537 182.318500
53 18 21 12.685999 160.934564
53 24 25 15.071374 227.146301
54 18 21 13.444961 180.766977
54 24 25 15.499638 240.238769
55 8 9 14.679319 215.482405
55 18 21 13.435266 180.506376
55 24 25 14.821128 219.665836
56 8 9 14.988849 224.665586
56 18 21 13.655923 186.484232
56 24 25 15.230909 231.980600
57 8 9 13.740315 188.796248
57 24 25 14.604390 213.288204
58 8 9 15.006022 225.180697
58 24 25 14.866322 221.007525
59 8 9 15.545547 241.664042
59 24 25 14.764724 217.997089
60 8 9 14.409433 207.631758
60 24 25 15.174601 230.268525
61 8 9 13.339090 177.931332
61 15 22 13.433948 180.470961
61 24 25 14.889159 221.687049
62 8 9 14.835695 220.097857
62 14 27 14.023854 196.668485
62 15 22 13.454641 181.027376
62 24 25 15.029020 225.871444
63 8 9 14.327086 205.265388
63 14 27 14.652456 214.694472
63 15 22 13.854176 191.938196
63 24 25 15.179530 230.418125
64 8 9 13.679541 187.129854
64 14 27 14.330208 205.354861
64 15 22 14.455995 208.975800
64 24 25 15.183542 230.539944
65 8 9 14.547109 211.618368
65 14 27 12.130875 147.158117
65 15 22 14.791265 218.781524
65 24 25 14.447429 208.728216
66 8 9 14.718413 216.631677
66 15 22 15.232574 232.031301
66 24 25 14.740993 217.296869
67 8 9 13.693810 187.520438
67 15 22 15.480496 239.645744
67 24 25 14.191080 201.386756
68 8 9 14.232261 202.557246
68 15 22 15.050065 226.504456
68 24 25 14.191328 201.393800
69 8 9 14.157036 200.421666
69 14 27 12.691504 161.074262
69 15 22 15.116817 228.518164
69 24 25 14.196870 201.551125
70 8 9 13.503148 182.335000
70 14 27 14.333846 205.459129
70 15 22 15.499339 240.229516
70 24 25 13.886419 192.832625
71 8 9 13.776902 189.803024
71 14 27 14.364121 206.327985
71 15 22 14.411544 207.692600
71 24 25 14.951060 223.534196
72 14 27 14.798154 218.985357
72 15 22 15.592942 243.139844
72 24 25 14.626549 213.935944
73 14 27 14.797505 218.966160
73 15 22 14.355240 206.072909
73 24 25 16.034333 257.099844
74 14 27 13.559255 183.853409
74 15 22 14.391924 207.127464
75 14 27 14.872797 221.200076
75 15 22 14.099618 198.799224
76 14 27 14.634377 214.164993
76 15 22 14.970001 224.100929
77 14 27 15.449615 238.690604
77 15 22 14.369260 206.475624
78 14 27 14.450087 208.805016
78 15 22 14.076513 198.148229
79 14 27 14.035603 196.998156
79 15 22 13.774405 189.734244
80 14 27 14.370329 206.506356
80 15 22 14.062084 197.742200
81 14 27 14.873703 221.227029
81 15 22 13.628042 185.723521
82 14 27 14.915505 222.472276
82 15 22 14.970288 224.109525
83 14 27 14.213199 202.015021
83 15 22 14.597884 213.098216
84 14 27 14.395462 207.229325
84 15 22 14.538435 211.366089
85 14 27 14.576955 212.487630
85 15 22 15.169595 230.116600
86 14 27 13.635578 185.928980
86 15 22 15.043092 226.294625
87 14 27 14.782897 218.534032
87 15 22 15.379364 236.524844
88 14 27 14.269994 203.632721
88 15 22 14.709181 216.360004
89 14 27 14.576692 212.479941
89 15 22 14.102563 198.882296
90 7 16 15.170217 230.135478
