#bonds	N(n->n+1)	roughness	kon(n->n+1)	koff(n->n-1)	K2D(n->n+1)	NR(NL)	Lx(Ly)	K
2	17765	0.4706	  9.274e-01	  1.231e-03	    753.40	3	15	10
3	23501	0.7807	  8.842e-01	  1.237e-03	    714.80	6	30	10
3	18534	0.9930	  8.771e-01	  1.253e-03	    699.80	8	45	10
5	16930	0.9685	  8.880e-01	  1.245e-03	    713.10	8	45	10
4	26522	0.9865	  9.081e-01	  1.237e-03	    734.40	8	45	10
3	15220	1.3147	  7.809e-01	  1.247e-03	    626.30	9	60	10
4	17667	1.3059	  8.337e-01	  1.260e-03	    661.70	9	60	10
5	10615	1.2859	  8.516e-01	  1.257e-03	    677.40	9	60	10
3	6898	1.4890	  7.677e-01	  1.251e-03	    613.60	10	75	10
4	6828	1.4536	  7.739e-01	  1.239e-03	    624.40	10	75	10
3	13797	1.9011	  7.013e-01	  1.250e-03	    561.00	12	90	10
4	15305	1.8870	  7.020e-01	  1.244e-03	    564.50	12	90	10
5	11223	1.8427	  7.537e-01	  1.272e-03	    592.70	12	90	10
3	12715	2.1718	  6.739e-01	  1.247e-03	    540.40	15	120	10
4	14754	2.1425	  6.888e-01	  1.262e-03	    545.60	15	120	10
5	11227	2.1124	  6.916e-01	  1.237e-03	    559.00	15	120	10
