#bonds	N(n->n+1)	roughness	kon(n->n+1)	koff(n->n-1)	K2D(n->n+1)	NR(NL)	Lx(Ly)	K
2	15528	0.4769	  8.403e+00	  8.518e-04	   9863.90	3	15	100
5	17621	0.7221	  6.871e+00	  8.662e-04	   7932.70	6	30	100
6	11830	1.1830	  5.373e+00	  8.941e-04	   6009.10	9	60	100
7	11852	1.1475	  5.644e+00	  9.029e-04	   6250.90	9	60	100
7	13230	1.6409	  4.009e+00	  9.075e-04	   4417.40	12	90	100
8	14872	1.5738	  4.131e+00	  8.959e-04	   4611.30	12	90	100
9	9026	1.5619	  4.405e+00	  8.830e-04	   4988.40	12	90	100
8	11847	1.9066	  3.488e+00	  9.000e-04	   3875.40	15	120	100
10	9481	1.7935	  3.545e+00	  9.027e-04	   3927.00	15	120	100
9	13974	1.8468	  3.822e+00	  9.070e-04	   4213.90	15	120	100
10	10871	2.0975	  3.380e+00	  8.986e-04	   3761.90	20	150	100
11	14158	2.0315	  3.576e+00	  8.981e-04	   3981.40	20	150	100
12	13603	1.9779	  3.641e+00	  8.957e-04	   4064.90	20	150	100
